Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.2025,0,2.2025,2.2025,0.994463
EDZ08   ,2.05482,0,2.05482,2.08299,0.99386
EDH09   ,1.87322,0,1.87322,2.00894,0.989176
EDM09   ,1.90571,0,1.90571,1.99157,0.984434
EDU09   ,1.97229,0,1.97229,1.9934,0.97955
EDZ09   ,2.10799,0,2.10799,2.01684,0.974358
EDH10   ,2.13283,0,2.13283,2.04408,0.969133
2 YR,2.19815,0,2.19815,2.20106,0.957164
3 YR,2.43105,0,2.43105,2.43921,0.929848
4 YR,2.7067,0,2.7067,2.72527,0.897246
5 YR,2.934,0,2.934,2.9644,0.863109
6 YR,3.073,0,3.073,3.11113,0.830912
7 YR,3.1609,0,3.1609,3.20367,0.800531
8 YR,3.222,0,3.222,3.2678,0.771583
9 YR,3.262,0,3.262,3.3091,0.744247
10 YR,3.303,0,3.303,3.35283,0.716993
11 YR,3.263,0,3.263,3.30027,0.697566
12 YR,3.3235,0,3.3235,3.37116,0.669537
15 YR,3.303,0,3.303,3.33595,0.6088
20 YR,3.251,0,3.251,3.25926,0.523825
25 YR,3.214,0,3.214,3.20498,0.45163
30 YR,3.202,0,3.202,3.18778,0.387208
40 YR,2.9678,0,2.9678,2.8136,0.327065
50 YR,2.9264,0,2.9264,2.76953,0.252753
