Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,104.33,112.38,105.1,98.97,96.63,93.72,91.95,91.2,88.05,90.95,92.25,94.2,98.25,105.4,111.6
3Mo,84.97,86.45,86.18,83.32,83.55,80.25,77.95,76.6,75.6,74.85,76.25,76.5,83.18,88.15,93.75
6Mo,80.9,77.75,76.13,73.05,72.55,69.82,67.93,66.9,66.1,65.28,67.3,65.6,68.95,73.9,77.95
9Mo,77.28,71.97,69.68,67.07,66.35,64.05,62.4,63,62.55,60.08,60.83,62,63.3,66.4,70.13
1Yr,70.97,65.15,63.17,60.98,59.95,58.05,56.65,56,56.1,54.52,54.65,54.9,57.15,60,61.63
2Yr,55.25,51.97,50.42,49.45,48.92,48.05,47.55,47.4,47.1,46.55,48.1,47.5,49.05,51.1,52.25
3Yr,44.98,44.35,43.77,43.27,43.25,42.95,42.77,43.6,42.92,42.25,43.8,44,45.55,47.2,47.75
4Yr,41.67,40.92,40.38,40.05,39.92,39.77,39.55,39.5,39.4,39.15,40.13,41.6,42.75,44,44.35
5Yr,37.6,37.73,37.38,37.45,37.5,37.27,37.02,37.1,37,36.88,38.2,39,40.23,40.95,41.23
6Yr,34.25,34.85,35.55,35.65,35.9,35.65,35.15,35.4,35.65,35.6,36.2,37.2,38.45,40.1,38.85
7Yr,33.15,33.33,33.55,33.48,33.42,33.27,33.27,33.6,33.8,33.75,35.6,35.2,35.98,36.8,36.85
8Yr,32.35,31.65,32.2,32.2,32.05,32.25,32.2,32.5,32.65,32.75,33.6,34.9,36.3,37.5,35.9
9Yr,30.6,30.8,31.1,31.1,30.9,31.35,31.6,31.8,32,32.1,33.05,34.55,36.05,35.8,35.6
10Yr,28.88,28.83,29.05,29.52,30.05,30.35,30.67,31.3,31.4,31.55,32.5,32.6,32.4,32.8,32.55
15Yr,28.4,30.5,30.4,30.9,31.3,32.5,31.15,31,32.4,30.85,31.15,31.7,31,30.5,28.45
20Yr,31,31,31.1,30.6,31.15,29.85,31.1,29.55,29.6,30.35,29.75,28.85,27.9,27.9,27.25
25Yr,28.85,28.65,29.1,29.2,29.4,28.85,28.45,27.95,28.6,27.6,27.15,26.55,26.4,25.3,24.8
30Yr,28,27.65,27.7,27.6,26.45,27.4,26.3,27,26.8,25.6,25.6,25.6,25.4,25.45,25.65
