Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,95.42,73.35,71.45,60.28,52.65,44.6,39.55,36.73,34.48,32.5,31.6,27.65,25.68,25.05,24.5
3Mo,80,69.8,69.1,58.3,51.4,44.25,39.7,37.08,34.83,32.98,28.6,28.27,26.23,25.82,25.25
6Mo,79.3,71.17,64.28,54.1,48.1,41.88,38,35.83,33.92,32.4,28.75,27.85,25.98,25.38,24.6
9Mo,84,69.88,60.27,51.13,45.53,40.3,37,35.23,33.4,31.67,30.05,27.6,25.9,25.5,24.7
1Yr,84.95,67.78,56.7,47.9,43.33,38.88,35.97,34.42,32.92,31.3,28.4,27.52,25.88,25.55,25
2Yr,63.93,51.08,42.92,38.25,35.28,33.08,31.7,30.6,29.6,28.7,27.55,25.4,24.38,24.07,23.77
3Yr,43,37.17,33.95,31.7,30.3,29.15,28.4,27.73,27.1,26.45,24.38,23.75,23.25,22.85,22.7
4Yr,33.2,30.55,28.85,28,27,26.45,26,25.48,25.05,24.4,24.05,22.4,22.1,21.73,21.38
5Yr,28.43,27.05,26.2,25.55,25.3,24.6,23.98,23.82,23.6,23.18,22.7,21.3,20.85,20.75,20.55
6Yr,25.6,24.95,24.45,24.05,23.6,23.18,22.73,22.7,22.5,22.3,21.5,20.35,20.15,19.95,19.75
7Yr,24.3,23.65,23.15,22.73,22.33,22.2,21.8,21.8,21.6,21.7,21.1,19.65,19.35,19.3,19.07
8Yr,22.9,22.55,22.13,21.7,21.32,21.13,20.95,20.9,20.8,20.8,20.25,19.5,18.95,18.65,18.45
9Yr,21.95,21.5,21.2,20.85,20.65,20.45,20.4,20.2,20.18,20.2,19.6,18.73,18.63,18.3,18.1
10Yr,20.82,20.5,20.5,20,19.82,19.75,19.7,19.8,19.83,19.45,19.15,18.02,17.63,17.73,17.6
15Yr,18.75,18.6,18.6,18.48,18.38,18.3,18.15,18.1,18.05,17.93,17.23,16.23,16,15.82,15.7
20Yr,17.57,17.52,17.33,17.18,16.98,16.95,16.75,16.5,16.45,16.48,15.9,14.98,14.75,14.6,16.4
25Yr,16.55,16.6,16.25,16.13,15.95,15.82,15.9,15.68,15.6,15.57,15.05,14.28,14.2,13.8,13.45
30Yr,15.2,15.07,14.95,14.8,14.65,14.8,14.48,14.3,14.35,14.35,13.82,13.05,12.9,12.82,17.9
