Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,4.33375,0,4.33375,4.33375,0.989046
EDZ08   ,3.09908,0,3.09908,3.68133,0.983818
EDH09   ,2.47717,0,2.47717,3.27462,0.977696
EDM09   ,2.53945,0,2.53945,3.09862,0.97146
EDU09   ,2.67094,0,2.67094,3.01697,0.964945
EDZ09   ,3.00165,0,3.00165,3.01624,0.957679
EDH10   ,3.2066,0,3.2066,3.05655,0.949979
2 YR,3.099,0,3.099,3.09797,0.940368
3 YR,3.4093,0,3.4093,3.41981,0.903276
4 YR,3.63065,0,3.63065,3.65178,0.865062
5 YR,3.7925,0,3.7925,3.82346,0.827482
6 YR,3.9235,0,3.9235,3.96424,0.790154
7 YR,4.0368,0,4.0368,4.088,0.753313
8 YR,4.1255,0,4.1255,4.1858,0.717912
9 YR,4.202,0,4.202,4.27138,0.683363
10 YR,4.265,0,4.265,4.34271,0.650599
11 YR,4.2985,0,4.2985,4.37843,0.620996
12 YR,4.342,0,4.342,4.42873,0.591171
15 YR,4.411,0,4.411,4.50455,0.512448
20 YR,4.444,0,4.444,4.52871,0.408194
25 YR,4.427,0,4.427,4.48258,0.330129
30 YR,4.4235,0,4.4235,4.46583,0.2658
40 YR,4.4165,0,4.4165,4.43376,0.173057
50 YR,4.4356,0,4.4356,4.47947,0.109151
