Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,1.4975,0,1.4975,1.4975,0.99627
EDH09   ,1.18929,0,1.18929,1.35587,0.99349
EDM09   ,1.24304,0,1.24304,1.32783,0.990378
EDU09   ,1.3363,0,1.3363,1.33436,0.987044
EDZ09   ,1.46907,0,1.46907,1.36251,0.983392
EDH10   ,1.55637,0,1.55637,1.40123,0.979539
EDM10   ,1.73321,0,1.73321,1.45483,0.975266
2 YR,1.525,0,1.525,1.52675,0.970039
3 YR,1.7712,0,1.7712,1.77716,0.948305
4 YR,1.94345,0,1.94345,1.9536,0.925132
5 YR,2.08255,0,2.08255,2.09736,0.900935
6 YR,2.179,0,2.179,2.19749,0.877103
7 YR,2.2577,0,2.2577,2.27983,0.853265
8 YR,2.3115,0,2.3115,2.33602,0.830441
9 YR,2.35505,0,2.35505,2.38169,0.807874
10 YR,2.3985,0,2.3985,2.42813,0.785513
11 YR,2.444,0,2.444,2.47767,0.762716
12 YR,2.4875,0,2.4875,2.52564,0.739945
15 YR,2.5665,0,2.5665,2.61213,0.677347
20 YR,2.537,0,2.537,2.56387,0.600616
25 YR,2.498,0,2.498,2.50701,0.53641
30 YR,2.4379,0,2.4379,2.42203,0.485662
40 YR,2.4775,0,2.4775,2.48453,0.372436
50 YR,2.9264,0,2.9264,3.41872,0.183615
