Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,92.5,85.4,75.1,69.05,64.9,59.8,55.45,48.75,46.05,45.3,43.13,39.9,41.1,39.2,40.65
3Mo,86.55,75.35,63.8,59.1,56,51.65,47.95,42.35,40.3,39.8,38.1,34.6,35.2,33.75,34.7
6Mo,78.5,63.95,55.33,51.1,47.85,44.63,41.75,38.75,37.15,35.7,34.3,32.2,31.8,31.35,31.5
9Mo,68.63,57.2,49.92,45.95,43.03,39.78,38.15,36.05,34.85,33.58,32.5,30.9,30.55,30,29.8
1Yr,58.6,49.75,44.75,42.2,40.1,37.1,35.75,33.9,32.6,31.45,31,29.5,28.68,28.7,28.27
2Yr,38.25,36.15,34.88,33.52,32.4,30.75,30.07,29.2,28.5,27.65,27.25,26.4,26.08,26,25.85
3Yr,30.73,31.85,30.75,29.75,29.02,28.07,27.4,26.9,24.65,25.85,24.1,25,24.75,24.8,24.65
4Yr,28.45,28.75,27.82,27.13,26.57,26,25.52,25.25,24.9,24.65,24.5,23.9,23.75,23.65,23.75
5Yr,26.65,26.05,25.48,25.07,24.77,24.45,24.25,23.8,23.65,23.27,23.3,22.9,22.7,22.75,22.75
6Yr,25.05,23.95,23.75,23.4,23.15,23,22.7,22.5,22.35,22,21.9,21.75,21.65,21.55,21.15
7Yr,23.02,22.85,22.63,22.7,22.7,22.23,22.25,21.85,21.7,21.75,21.6,21.1,20.93,20.85,21
8Yr,22.15,21.4,21.4,21.35,21.2,21.05,20.9,20.75,20.7,20.45,20.5,20.6,20.5,20.05,19.65
9Yr,20.7,20.7,20.65,20.6,20.4,20.2,20.25,20.05,19.95,19.85,19.95,20.15,20.05,19.55,19.05
10Yr,20.6,20.4,20.3,20.35,20.2,20.05,19.98,19.85,19.65,19.52,19.43,19.35,18.9,18.85,18.75
15Yr,17,17.55,17.65,19.4,17.7,17.6,17.45,18.7,17.15,17.05,16.75,16.4,16.15,16,16.25
20Yr,18.3,17.05,17,18,16.8,17,17.15,17.25,17.2,17.15,16.55,15.75,15.1,15.2,15.4
25Yr,16.45,16.75,16.65,16.4,16.5,16.05,15.75,15.5,15.15,14.85,14.35,13.65,13.4,13.25,13.15
30Yr,18.4,15.05,14.95,14.65,14.5,13.95,13.55,13.3,12.9,12.7,12.4,12,12,11.85,11.6
