Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,80.4,74.7,62.35,56,52.1,47.25,44.9,42.65,40.5,38.55,38.5,38.5,38.5,36.85,38.5
3Mo,73.7,62.95,52.5,47.45,44.25,41,39.1,38.2,36.65,34.25,33,33.4,33.35,33.1,33.3
6Mo,70.05,56.7,47.15,43.5,40.73,37.95,36.13,34.45,33.35,31.85,30.6,30.7,31.3,30.4,31.3
9Mo,62.45,50.5,43.45,39.8,37.75,35.9,33.9,32.75,32.05,30.85,30.45,29.9,29.85,29.5,29.85
1Yr,54.7,44,39.2,36.75,34.65,33.35,31.8,30.55,29.85,28.95,28.65,28.25,28.4,28,28.4
2Yr,34.25,32.1,30.77,29.45,28.95,27.75,27.32,26.95,26.5,26,25.8,25.95,25.45,25.5,26
3Yr,28.98,28.38,27.5,26.98,26.52,25.93,25.7,25.45,24.8,25.1,24.13,25,24.35,24.9,24.6
4Yr,26.35,25.3,25.38,24.98,24.77,24.63,24.33,24.2,24.05,24,23.65,24.05,23.58,23.9,23.6
5Yr,22.9,23.92,23.6,23.52,23.57,23.52,23.2,23.4,23.1,22.8,22.7,22.9,22.6,22.95,22.75
6Yr,22.95,22.85,23,22.95,22.8,22.7,22.45,22.4,22.35,22.1,22.1,22.1,22.05,21.9,21.35
7Yr,21,21.4,21.9,22.1,22.05,21.95,21.85,22,21.9,21.55,21.4,21.2,21.1,21.25,21.7
8Yr,22.4,21.4,21.45,21.4,21.35,21.35,21.25,21.1,21.1,20.85,20.9,21.05,21.05,20.4,19.8
9Yr,21.2,20.75,20.7,20.8,20.75,20.65,20.75,20.55,20.4,20.25,20.4,20.65,20.55,19.95,19.35
10Yr,20.4,19.85,19.85,19.95,20.15,20.05,19.95,20.3,20.05,19.5,19.13,18.6,18.75,19.15,19.2
15Yr,20.75,20.8,19.4,19.3,19.1,18.6,18.1,17.6,17.3,18.65,18.15,17.4,17.6,16.9,18.25
20Yr,16,18.6,18.2,17.85,15.7,15.8,16.1,17.8,17.65,17.45,16.95,16.3,15.65,15.7,17.75
25Yr,18.25,17.9,18.05,17.85,17.6,17.2,16.75,19.7,14.85,19.1,17.2,14.4,14.75,15.3,15.55
30Yr,21.3,16,15.2,14.65,14.35,11.15,8.9,10.9,12.35,13.6,13.8,14.15,15.1,15.15,14.4
