Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.81,0,2.81,2.81,0.992947
EDU08   ,2.82238,0,2.82238,2.85881,0.991755
EDZ08   ,2.97376,0,2.97376,2.91724,0.984356
EDH09   ,2.94199,0,2.94199,2.94918,0.977089
EDM09   ,3.06457,0,3.06457,2.99597,0.969578
EDU09   ,3.26153,0,3.26153,3.0571,0.96165
EDZ09   ,3.54288,0,3.54288,3.13921,0.953114
2 YR,3.305,0,3.305,3.31157,0.936422
3 YR,3.636,0,3.636,3.65377,0.897068
4 YR,3.8555,0,3.8555,3.88316,0.857228
5 YR,4.007,0,4.007,4.04324,0.81852
6 YR,4.133,0,4.133,4.17855,0.780259
7 YR,4.242,0,4.242,4.29764,0.742563
8 YR,4.331,0,4.331,4.39612,0.706183
9 YR,4.402,0,4.402,4.47532,0.671187
10 YR,4.4605,0,4.4605,4.5414,0.638068
11 YR,4.514,0,4.514,4.60316,0.606085
12 YR,4.562,0,4.562,4.65957,0.575374
15 YR,4.6575,0,4.6575,4.77157,0.492765
20 YR,4.739,0,4.739,4.86557,0.382179
25 YR,4.769,0,4.769,4.89187,0.29872
30 YR,4.7795,0,4.7795,4.89158,0.234614
40 YR,4.7865,0,4.7865,4.8719,0.145817
50 YR,4.7755,0,4.7755,4.8116,0.092787
