Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.79875,0,2.79875,2.79875,0.992898
EDU08   ,2.89455,0,2.89455,2.91546,0.989046
EDZ08   ,3.09319,0,3.09319,2.99109,0.981372
EDH09   ,3.16617,0,3.16617,3.06391,0.97358
EDM09   ,3.35852,0,3.35852,3.14824,0.965385
EDU09   ,3.64025,0,3.64025,3.24782,0.956582
EDZ09   ,3.96636,0,3.96636,3.36205,0.947087
2 YR,3.5195,0,3.5195,3.5285,0.932436
3 YR,3.8845,0,3.8845,3.90613,0.890523
4 YR,4.1145,0,4.1145,4.14961,0.848499
5 YR,4.271,0,4.271,4.31459,0.807804
6 YR,4.403,0,4.403,4.45641,0.767629
7 YR,4.51,0,4.51,4.57317,0.728683
8 YR,4.5995,0,4.5995,4.67245,0.691171
9 YR,4.6735,0,4.6735,4.75696,0.655004
10 YR,4.7325,0,4.7325,4.82359,0.62087
11 YR,4.792,0,4.792,4.89329,0.587557
12 YR,4.832,0,4.832,4.93893,0.556843
15 YR,4.9245,0,4.9245,5.04812,0.473398
20 YR,5.0015,0,5.0015,5.13524,0.362734
25 YR,5.0365,0,5.0365,5.1704,0.279143
30 YR,5.042,0,5.042,5.15858,0.216979
40 YR,5.0495,0,5.0495,5.13859,0.131405
50 YR,5.04,0,5.04,5.07865,0.081462
