Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,90.45,76.22,72.82,64.03,58.85,54.5,55.35,53.3,52.85,52.65,46.73,49.1,48.8,51.3,49.2
3Mo,92.38,78.6,67.38,61.58,57.63,54.55,51.88,51.03,50.27,49.8,48.05,47.13,45.8,45.83,45.25
6Mo,91.55,70.22,61.8,57.02,54.05,50.23,49.13,47.17,46.45,45.55,44.38,42.97,42,41.63,41.45
9Mo,85.55,67.38,58.17,54.27,50.55,47.2,45.63,44.8,44.05,42.92,42.48,40.65,40.2,40.28,39.95
1Yr,78,64.4,55.95,50.92,47.45,44.9,43.42,42.63,41.95,40.83,39.8,38.42,38.08,38.38,38.2
2Yr,63.6,51.95,45.45,42.13,40.38,39.05,38.13,37.6,36.92,36,36.13,34.33,33.9,33.9,33.75
3Yr,48.4,43.2,38.98,36.92,35.75,35.15,34.2,34.28,33.75,32.9,33.23,31.98,31.42,31.7,31.58
4Yr,39.73,36.48,34.67,33.58,32.88,32.6,32.2,31.8,31.63,31.08,31.6,30.55,29.95,30.25,30.05
5Yr,34.53,33.1,32.3,31.75,31.25,31.15,30.48,30.52,30.35,30.02,30.5,29.5,28.98,29.02,28.98
6Yr,32.08,31.7,31.13,30.55,30.38,30.02,29.8,29.48,29.58,29.45,29.4,29.05,28.7,28.63,28.52
7Yr,31.1,30.52,30.23,29.7,28.98,28.75,28.95,28.95,28.95,29.05,29.5,28.65,27.88,28.17,27.8
8Yr,30.4,30.1,29.7,29.05,28.8,28.68,28.6,28.35,28.45,28.55,28.52,27.35,27.73,27.58,27.42
9Yr,29.88,29.33,28.88,28.48,28.27,28.13,28.05,28.05,28.23,28.35,27.88,27.6,27.3,28.1,27.02
10Yr,28.35,28.25,27.98,28.07,27.68,27.55,27.68,28,27.77,27.77,28.17,27.07,25.6,26.45,26.4
15Yr,27.2,27.42,27.48,27.42,27.42,27.48,27.42,27.52,27.65,27.42,26.88,26.65,26.05,26.38,26.23
20Yr,27.13,26.6,26.48,26,26.5,26.63,26.15,26.45,26.52,26.2,26.6,26.2,26.02,26.13,26.18
25Yr,25.58,25.73,25.52,25.55,25.7,26.02,25.73,25.88,25.95,25.98,25.75,25.25,25.07,25,25.23
30Yr,25.75,25.85,25.9,26,26.15,26.3,26.15,25.75,26.1,26.1,25.9,25.63,25.45,25.7,29.92
