Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.22,0,2.22,2.22,0.994481
EDZ08   ,2.14734,0,2.14734,2.16348,0.993743
EDH09   ,1.84823,0,1.84823,2.03994,0.989122
EDM09   ,1.82068,0,1.82068,1.98521,0.984591
EDU09   ,1.83721,0,1.83721,1.95546,0.98004
EDZ09   ,1.91784,0,1.91784,1.94898,0.975311
EDH10   ,1.90759,0,1.90759,1.94999,0.970631
2 YR,2,0,2,2.0004,0.960973
3 YR,2.1765,0,2.1765,2.18083,0.936888
4 YR,2.398,0,2.398,2.40998,0.908625
5 YR,2.5808,0,2.5808,2.60111,0.878783
6 YR,2.7155,0,2.7155,2.74311,0.849194
7 YR,2.81245,0,2.81245,2.84584,0.82053
8 YR,2.8795,0,2.8795,2.9168,0.793089
9 YR,2.9205,0,2.9205,2.95949,0.767602
10 YR,2.945,0,2.945,2.98406,0.743638
11 YR,2.933,0,2.933,2.96637,0.723319
12 YR,2.9565,0,2.9565,2.9917,0.700231
15 YR,2.9415,0,2.9415,2.96635,0.642899
20 YR,2.883,0,2.883,2.88572,0.563775
25 YR,2.8395,0,2.8395,2.82609,0.495725
30 YR,2.821,0,2.821,2.80131,0.434064
40 YR,2.81775,0,2.81775,2.79993,0.328833
50 YR,2.9264,0,2.9264,3.01376,0.224105
