Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,88.93,100.3,83.03,81.03,76.3,69.55,69.63,62.8,60.95,64.5,53.95,53.25,58.7,52.9,56.27
3Mo,75.95,77.18,75.22,70.05,66.28,61.58,59.15,57,55.95,55.88,52.17,49.9,49.17,48.78,48.73
6Mo,82.65,76.47,70.43,65.85,61.58,58.15,55.95,53.95,52.85,51.8,50.88,46.6,45.7,44.83,45.2
9Mo,86,76.92,68.82,62.23,58.3,54.35,52.7,51.45,50.2,49,47.97,44.83,43.6,43,42.7
1Yr,87.63,75.5,66,58.55,54.67,51.25,49.48,48.7,48.1,46.73,45.05,42.85,41.65,41.6,41.67
2Yr,82.95,65.1,54.42,49.65,46.73,44.85,43.85,42.75,41.88,40.98,40.83,38.25,37.55,36.85,36.9
3Yr,60.7,50.15,45.2,42.33,40.67,39.5,38.35,38.33,37.7,36.67,36.88,34.6,34.63,33.77,34.1
4Yr,45.2,41.52,39.05,37.52,36.78,35.85,35.13,34.55,34.4,34.13,34.13,32.6,32.5,32.23,32.13
5Yr,39.08,37.02,35.92,35.13,34.42,34.13,33.45,32.95,32.7,32.73,32.25,31.05,30.85,30.65,30.55
6Yr,34.72,34.25,33.7,33.13,32.65,32.02,31.75,31.15,30.95,31.05,31.4,30.4,30.1,30.1,29.85
7Yr,33.17,32.85,32.1,31.92,31.52,31.05,30.92,30.75,30.15,31.08,30.2,29.45,29.65,28.85,29.35
8Yr,32.17,31.98,31.27,30.65,30.27,30.23,29.98,29.45,29.45,29.75,29.75,29.05,28.63,28.6,28.23
9Yr,31.75,30.8,29.45,29.8,29.6,29.5,29.27,28.85,29.9,29.25,29.15,28.17,27.95,25.95,27.85
10Yr,30.13,29.5,29.27,29.07,28.98,29.2,29.13,29.1,29.27,29.13,28.65,27.8,27.33,26.8,26.65
15Yr,28.93,29.05,29.13,28.95,29.45,29.42,29.27,29.2,29.15,29.1,27.5,27.52,26.9,27,27.1
20Yr,27.38,27.43,27.43,27.45,27.5,27.48,27.3,27.15,27.08,26.55,27.3,25.45,25.27,25.4,25.6
25Yr,26.52,26.52,25.95,26.15,26.1,26.35,26.45,26.15,26.35,26.35,25.95,25.25,24.98,26.35,24.92
30Yr,25.65,25.8,26.57,26.7,26.45,26.88,26.5,26.6,26.7,26.8,26.05,25.15,25.08,28.42,28.83
