Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.80188,0,2.80188,2.80188,0.992891
EDU08   ,2.83465,0,2.83465,2.87998,0.989727
EDZ08   ,3.04343,0,3.04343,2.95198,0.982171
EDH09   ,3.14161,0,3.14161,3.0304,0.974433
EDM09   ,3.31419,0,3.31419,3.11349,0.966338
EDU09   ,3.55118,0,3.55118,3.20418,0.95774
EDZ09   ,3.85261,0,3.85261,3.30865,0.948503
2 YR,3.498,0,3.498,3.50704,0.932649
3 YR,3.8575,0,3.8575,3.87895,0.891044
4 YR,4.0905,0,4.0905,4.12286,0.849389
5 YR,4.255,0,4.255,4.29702,0.808499
6 YR,4.397,0,4.397,4.45034,0.767902
7 YR,4.521,0,4.521,4.58688,0.727999
8 YR,4.6125,0,4.6125,4.68823,0.690142
9 YR,4.6945,0,4.6945,4.78111,0.653615
10 YR,4.7565,0,4.7565,4.85138,0.619187
11 YR,4.8255,0,4.8255,4.93345,0.585029
12 YR,4.8615,0,4.8615,4.97328,0.554608
15 YR,4.9735,0,4.9735,5.10869,0.469222
20 YR,5.056,0,5.056,5.2023,0.358023
25 YR,5.0905,0,5.0905,5.23457,0.274734
30 YR,5.1025,0,5.1025,5.23467,0.212144
40 YR,5.116,0,5.116,5.2254,0.127031
50 YR,5.098,0,5.098,5.1299,0.079452
