Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,99.03,82.63,81.1,74.33,62.77,58.6,60.6,56.35,53.9,58.4,48.9,47.05,50.6,45.4,46.92
3Mo,93.8,79.22,76.55,68.3,59.83,56.35,54.63,52.25,51.4,50.6,48.2,45.02,44.05,43.75,44.67
6Mo,90.6,77.38,71.75,62.72,56.35,52.6,50.35,48.05,47.48,46.05,45.85,41.33,39.67,39.1,40.73
9Mo,87.6,75.15,67.1,58.58,52.88,49.73,47.45,46.15,45.05,44.25,42.7,38.95,37.45,36.9,36.75
1Yr,81.75,71.05,62.42,54.25,50.23,47.05,45.17,43.65,43.2,42.08,40.2,37.25,35.78,35.45,35.5
2Yr,79.15,61.33,51.35,45.5,42.77,40.8,39.65,39.13,37.8,37.6,36.9,34.15,32.9,32.7,32.5
3Yr,56.85,47.78,42.65,39.63,37.8,36.7,35.58,35.6,34.97,33.9,34.1,32,31.07,30.7,30.35
4Yr,44.35,39.98,37.45,35.55,34.35,33.6,33,32.85,32.55,32,31.85,30.85,29.7,29.67,29.3
5Yr,37.85,35.7,34.45,33.3,32.5,32.15,31.42,31.48,31.15,30.6,30.52,29.35,28.6,28.45,28.35
6Yr,34.13,33,32.2,31.52,30.88,30.5,30.15,30.1,29.9,29.8,29.35,28.77,28.17,27.82,27.9
7Yr,31.85,31.1,30.25,29.6,29.1,28.95,28.63,28.83,28.75,28.8,28.65,27.65,26.83,26.4,26.95
8Yr,30.33,29.6,28.95,28.5,28.1,28.1,27.95,28.15,28.15,28.15,27.83,27.07,26.88,26.45,26.48
9Yr,29.13,28.42,28.02,27.52,27.27,27.33,27.08,27.23,27.3,27.5,27.13,26.73,26.4,26,25.9
10Yr,27.85,27.48,27.08,26.77,26.55,26.55,26.5,26.77,26.83,26.48,26.4,25.9,24.65,24.7,24.75
15Yr,25.38,24.85,25.6,25.3,25.35,25.45,25.63,25.73,25.65,25.6,24.98,23.95,25.5,25.92,26.25
20Yr,23.63,23.95,23.42,23.63,23.13,23.42,23.23,23.33,23.48,23.63,24.65,24.05,24.75,25.5,25.98
25Yr,21.23,21,20.83,22.85,20.52,23,20.6,23.5,20.7,24.45,22.42,23.7,25.48,26.38,25.2
30Yr,19.65,23.8,23.6,19.67,19.55,24.15,19.45,19.13,19.3,19.35,23.98,23.75,26.05,27.27,27.05
