Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,89.32,72.7,69.13,57.08,51.25,43.35,38.35,34.45,32.4,30.58,28.9,26.25,24.52,24.23,23.2
3Mo,81.65,68.28,64.1,54.95,48.88,42.13,37.58,34.8,32.75,30.95,28.95,26.7,25.75,24.55,23.93
6Mo,76.45,67.38,60.15,50.9,45.75,40,36.33,34.15,32.2,30.63,28.6,26.55,25.3,24.6,23.8
9Mo,79.75,66.2,56.28,47.65,42.7,38.2,35.03,33.3,31.7,30.1,28.57,26.3,25,24.65,23.88
1Yr,77.7,63.35,52.85,44.7,40.35,36.45,34.1,32.3,31.1,29.67,27.75,26.15,24.92,24.6,23.95
2Yr,57.9,46.98,39.95,35.67,33,30.98,29.43,28.6,27.88,26.8,25.65,24.33,23.33,23.2,22.73
3Yr,39.67,34.65,31.65,29.6,28.35,27.4,26.38,26.15,25.63,24.77,23.75,23.05,22.23,22.15,21.7
4Yr,30.68,28.52,27.02,26.1,25.38,24.88,24.25,24.02,23.73,23.08,22.6,21.55,20.92,20.92,20.75
5Yr,26.52,25.33,24.6,23.98,23.45,22.95,22.75,22.55,22.35,21.85,21.45,20.45,19.92,19.95,19.65
6Yr,24.38,23.7,23.18,22.68,22.35,21.98,21.63,21.4,21.35,21.2,20.58,19.65,19.38,19.25,19.13
7Yr,22.75,22.17,21.82,21.35,21.1,20.93,20.63,20.7,20.6,20.3,20.05,19.05,18.58,18.7,18.6
8Yr,21.75,21.4,21,20.68,20.4,20.27,20.13,20.05,20,19.93,19.23,18.2,18.25,18.1,17.95
9Yr,20.75,20.48,20.27,19.95,19.75,19.6,19.35,19.33,19.35,19.33,18.83,18.13,17.88,17.43,17.5
10Yr,19.75,19.57,19.15,19.25,18.85,18.93,18.77,19,18.95,18.92,18.25,17.4,17,17.15,17.05
15Yr,17.8,18.13,18.1,18.05,17.9,17.83,17.65,17.6,17.6,17.4,16.85,16.05,15.8,15.65,15.55
20Yr,17.02,16.93,16.77,16.57,16.38,16.05,16.13,16,15.95,15.95,15.48,14.75,14.68,14.55,14.45
25Yr,16.15,16.15,16,15.9,15.75,15.6,15.53,15.45,15.35,15.3,14.85,14.15,13.95,13.95,13.6
30Yr,14.88,14.78,14.7,14.6,14.47,14.47,14.38,14.18,14.2,14.28,13.88,13.25,13.15,13.05,16.6
