Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.23875,0,2.23875,2.23875,0.994311
EDZ08   ,2.17966,0,2.17966,2.20055,0.992792
EDH09   ,1.98293,0,1.98293,2.1287,0.98784
EDM09   ,2.01027,0,2.01027,2.10835,0.982846
EDU09   ,2.10171,0,2.10171,2.11355,0.977652
EDZ09   ,2.27225,0,2.27225,2.14497,0.972069
EDH10   ,2.34194,0,2.34194,2.18526,0.966348
2 YR,2.2735,0,2.2735,2.27565,0.955753
3 YR,2.6765,0,2.6765,2.68965,0.922839
4 YR,3.033,0,3.033,3.06154,0.885561
5 YR,3.3235,0,3.3235,3.3694,0.846143
6 YR,3.534,0,3.534,3.59517,0.807515
7 YR,3.713,0,3.713,3.79051,0.768855
8 YR,3.838,0,3.838,3.9273,0.732454
9 YR,3.923,0,3.923,4.01981,0.698859
10 YR,3.9835,0,3.9835,4.08495,0.667391
11 YR,3.999,0,3.999,4.09535,0.640224
12 YR,4.0375,0,4.0375,4.13715,0.611774
15 YR,4.044,0,4.044,4.12569,0.541902
20 YR,4.023,0,4.023,4.07487,0.446242
25 YR,4.0045,0,4.0045,4.03484,0.368288
30 YR,3.9965,0,3.9965,4.01521,0.303422
40 YR,4.0005,0,4.0005,4.0142,0.203971
50 YR,2.9264,0,2.9264,2.15667,0.34213
