Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,121.55,97.45,95.8,77.45,64.3,58.52,58.38,55.72,54.7,54.13,47.42,48.2,46.92,46.85,46.88
3Mo,101.63,83.25,83.5,70.47,59.4,55.45,53.3,51,50.17,49.23,46.88,43.55,42.17,41.8,42.22
6Mo,85.08,74.03,71.7,61.6,53.3,49.7,47.83,46.33,45.15,44.02,42.52,39.45,37.7,37.92,37.95
9Mo,85.35,72.4,67.15,56.63,50.38,47.15,45.2,43.88,42.83,41.52,40.65,37.35,35.67,35.6,35.33
1Yr,82.65,68.75,61.58,52.23,47.73,44.85,43.08,42.13,41.33,39.85,38.33,35.95,34.35,34.25,34.13
2Yr,74.6,60.17,50.42,44.38,40.65,38.9,37.72,36.75,35.95,35.28,35.1,32.55,31.68,31.45,31.08
3Yr,53.45,44.97,40.52,37.73,36.02,34.75,34.3,33.95,33.27,32.25,32.17,30.48,29.7,29.6,29.18
4Yr,41.42,37.53,35.15,33.55,32.42,31.52,31.27,31.25,30.65,30.35,30.8,29.02,28.5,28.23,27.68
5Yr,35.8,33.8,32.55,31.5,30.75,30.33,30.02,30.23,29.7,29.38,29.67,28.23,27.55,27.35,27.17
6Yr,32.63,31.45,30.7,29.98,29.48,29.23,28.88,28.7,28.7,28.6,28.25,27.32,27.13,26.88,26.6
7Yr,30.35,29.48,28.75,28.18,27.68,27.55,27.25,27.5,27.5,27.55,27.88,26.4,26.1,25.9,25.65
8Yr,29.2,28.3,27.7,27.15,26.9,26.75,26.65,26.9,26.8,27.05,26.83,25.67,25.93,25.45,25.3
9Yr,28.1,27.13,26.75,26.25,26.02,26.15,25.83,26.35,26.25,26.55,25.95,25.27,25.45,25.5,24.58
10Yr,26.6,26.65,26.25,26.3,25.45,25.43,25.75,25.6,25.65,25.5,25.6,24.57,24.05,24.05,24.05
15Yr,24.33,24.25,24.65,24.6,24.52,24.52,24.4,24.5,24.55,24.33,23.45,22.95,22.15,22.15,22.1
20Yr,22.9,22.8,22.7,22.73,22.65,22.75,22.55,22.35,22.3,22.4,21.77,21.13,20.35,20.35,20.48
25Yr,23.35,23.1,23.2,21.17,20.98,20.83,20.7,20.52,22.6,20.23,19.95,19.2,19,19.15,18.88
30Yr,23.32,19.15,18.83,18.73,18.45,18.35,18.2,17.92,17.98,18.05,19.9,17.67,17.63,17.73,25.38
