Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,85.05,88.53,90.15,89.05,89.75,86.63,85.25,84.8,84.6,84.28,85.03,86.15,85.22,91.5,96.65
3Mo,81.95,76.13,79.35,78.03,78.22,75.75,74.75,74.6,74.6,74.25,74,73.1,74.55,81.05,81.85
6Mo,72.2,69.82,70.32,66.8,65.95,64.05,63.13,62.8,62.6,61.95,61.5,58.6,59.35,62.7,64.95
9Mo,67.2,62.72,62.9,60.3,59.63,58.2,58.15,58.7,57.9,56.13,55.63,54.9,54.4,55.2,57.35
1Yr,60.85,55.95,54.72,54.17,53.45,52.35,51.63,51.4,51,50.13,49.45,47.9,48.65,49.9,50.35
2Yr,46.88,45.45,44.55,43.95,44.08,43.63,43.33,43.3,42.7,41.92,42.05,41,41.95,42.8,42.7
3Yr,41.02,40.02,39.35,39.25,39.65,39.42,39.13,38.9,38.17,37.45,39.2,37.5,38.45,39.3,39.15
4Yr,36.65,35.75,36.05,36.33,36.65,36.33,35.65,35.2,34.6,33.95,34.4,34.5,35.55,36.4,36.35
5Yr,33.52,33.75,33.95,34.15,34.23,33.52,32.73,32.4,31.9,31.42,31.95,32.4,33.35,34.1,34.05
6Yr,31.55,31.95,32.2,32.35,32.3,31.05,30.5,30.45,30.4,30.15,30.35,30.65,31.8,32.2,31.65
7Yr,30.65,30.63,30.52,29.95,29.35,28.73,28.33,28.3,28.3,28.02,28.95,29.2,29.88,30.5,30.45
8Yr,29,27.95,27.6,26.85,26.75,26.8,26.4,26.5,26.65,26.45,27.1,28.1,28.95,28.7,28.3
9Yr,27,26.1,25.45,25.35,25.1,25.25,25.35,25.55,25.6,25.65,26.35,27.4,28.1,28.75,27.55
10Yr,24.02,23.45,23.35,23.45,23.73,23.85,24.05,24.6,24.8,24.85,25.6,26.2,25.95,26.4,26.25
15Yr,22.6,23.2,24,24.8,25.4,25.7,25.9,26.1,26.2,26.2,26,25.8,25.2,25.1,22.45
20Yr,25.7,25.8,26,26.1,26.2,26.1,25.9,25.7,25.5,24.9,24.55,24.1,23.5,22.2,23.5
25Yr,24.7,24.6,24.5,24.4,24.3,24.1,23.9,23.7,23.5,23.3,22.95,22.5,24.45,22.5,23.4
30Yr,22.4,22.3,22.3,22.3,22.3,22.2,22.2,22.1,22.1,24.45,24.55,24.7,22,25,25.1
