Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.79625,0,2.79625,2.79625,0.992905
EDU08   ,2.88453,0,2.88453,2.92851,0.988997
EDZ08   ,3.05815,0,3.05815,2.98485,0.981411
EDH09   ,3.12111,0,3.12111,3.04639,0.973728
EDM09   ,3.31342,0,3.31342,3.12437,0.965641
EDU09   ,3.5951,0,3.5951,3.21993,0.956944
EDZ09   ,3.92117,0,3.92117,3.33142,0.947552
2 YR,3.487,0,3.487,3.4957,0.933037
3 YR,3.843,0,3.843,3.86386,0.89163
4 YR,4.064,0,4.064,4.09483,0.850323
5 YR,4.213,0,4.213,4.25208,0.81028
6 YR,4.349,0,4.349,4.39883,0.770228
7 YR,4.462,0,4.462,4.52275,0.731202
8 YR,4.558,0,4.558,4.62986,0.693475
9 YR,4.636,0,4.636,4.71785,0.65726
10 YR,4.6975,0,4.6975,4.78768,0.623051
11 YR,4.751,0,4.751,4.84943,0.59033
12 YR,4.7975,0,4.7975,4.90395,0.559129
15 YR,4.8945,0,4.8945,5.01839,0.475461
20 YR,4.9755,0,4.9755,5.11154,0.364415
25 YR,5.0105,0,5.0105,5.14621,0.280793
30 YR,5.0225,0,5.0225,5.1474,0.21769
40 YR,5.0125,0,5.0125,5.08106,0.134386
50 YR,5.021,0,5.021,5.08716,0.081125
