Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,96.3,89.5,78.25,70.95,65.72,61.45,57.05,54,49.9,46.95,46,44.6,43.8,43.8,43.9
3Mo,91.9,79.95,68.2,61.5,57.2,53.2,49.6,43.55,43.9,40.9,39.9,36.75,38.1,36.45,38.5
6Mo,75.8,65.63,56.42,51.5,48.65,45.9,43.4,40.05,38.6,36.63,34.8,34.5,34.33,34.1,34.15
9Mo,70.95,58.8,50.1,47.35,45.15,42.45,40.55,37,35.95,34.6,33.7,32.4,33.05,32.2,33.27
1Yr,61.3,51.4,45.5,42.4,40.75,38.65,37.3,34.75,31.95,32.5,31.6,29.7,31.02,28.8,30.9
2Yr,39.3,36.55,34.65,33.67,32.6,31.4,30.68,29.9,29.2,28.35,28,27.8,27.75,28.1,27.88
3Yr,33.05,31.85,31.25,30.35,29.85,28.85,28.05,27.8,27,26.85,24.1,26.4,26.35,26.8,26.7
4Yr,29.15,29.25,28.35,28.02,27.25,26.55,26.2,26.15,25.9,25.48,25.4,23.6,25.25,23.5,25.6
5Yr,28.1,26.8,26.45,26.02,25.43,25.2,24.98,23.8,24.8,24.4,24.35,24.5,24.35,24.75,24.7
6Yr,25.55,25.05,24.7,24.35,24.1,24.05,23.8,22.95,23.5,23.2,23.15,23.1,23.05,23.2,23.3
7Yr,24.15,23.95,23.3,23.27,23.35,23.35,23.05,23,22.9,22.65,21.45,22.7,22.63,22.8,22.85
8Yr,22.35,22.25,22.3,22.3,22.25,22.15,22,21.9,21.85,21.7,21.8,21.95,21.75,21.7,21.85
9Yr,21.3,21.7,21.75,21.75,21.6,21.4,21.45,21.3,21.2,21.05,21.2,21.45,21.35,19.55,21.2
10Yr,21.33,21.88,21.95,21.9,21.65,21.45,21.4,20.1,19.7,21,20.15,18.9,20.75,20.95,20.65
15Yr,15.95,19.05,19.1,19.15,19.15,19,18.85,18.75,18.5,18.2,18,17.7,18.15,18.25,17.25
20Yr,19.8,18.4,18.3,17.95,14.6,18.1,14.4,19.9,18.3,18.4,18.25,18.1,17.5,15.9,14.5
25Yr,16.5,17.35,17.4,17.35,15.6,17.65,17.75,17.9,17.9,17.85,17.2,16.25,13.75,11.9,11.35
30Yr,21.4,19.35,19.6,19.65,19.65,18.95,18.25,17.65,16.85,16,14.4,12.05,10.05,9.45,9.9
