Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.16375,0,2.16375,2.16375,0.99462
EDZ08   ,1.99995,0,1.99995,2.01541,0.994611
EDH09   ,1.7237,0,1.7237,1.89621,0.990296
EDM09   ,1.73669,0,1.73669,1.85849,0.985968
EDU09   ,1.82392,0,1.82392,1.85601,0.981443
EDZ09   ,1.98041,0,1.98041,1.8818,0.976555
EDH10   ,2.04119,0,2.04119,1.9162,0.971542
2 YR,2.0065,0,2.0065,2.00818,0.960718
3 YR,2.2455,0,2.2455,2.25247,0.934953
4 YR,2.4383,0,2.4383,2.45141,0.907138
5 YR,2.581,0,2.581,2.5999,0.878836
6 YR,2.699,0,2.699,2.72399,0.850155
7 YR,2.794,0,2.794,2.8248,0.821722
8 YR,2.8635,0,2.8635,2.89875,0.794283
9 YR,2.909,0,2.909,2.94673,0.768533
10 YR,2.9415,0,2.9415,2.98068,0.743885
11 YR,2.935,0,2.935,2.96946,0.723077
12 YR,2.9585,0,2.9585,2.99472,0.699981
15 YR,2.9245,0,2.9245,2.94609,0.64488
20 YR,2.8225,0,2.8225,2.81196,0.572081
25 YR,2.7355,0,2.7355,2.69817,0.511654
30 YR,2.6885,0,2.6885,2.63808,0.455483
40 YR,2.6795,0,2.6795,2.63606,0.350801
50 YR,2.643,0,2.643,2.57972,0.277589
