Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,36.3,40.17,37.6,35.6,34.3,31.75,29.73,27.9,26.5,25.2,25,22.9,20.38,20.65,20.7
3Mo,36.7,37.7,34.9,33.3,32.2,30.1,28.3,26.25,25.1,23.7,22.75,21.25,20.2,20.05,19.6
6Mo,36.3,34.6,32,30.6,29.5,27.38,25.95,24.5,23.6,22.4,21.85,20,19.2,19,18.8
9Mo,34.8,32.7,30.45,29.05,27.85,26.3,25,23.45,22.7,21.7,20.75,19.35,18.75,18.5,18.35
1Yr,33.05,30.8,28.9,27.5,26.02,24.15,23.6,22.8,21.75,21,20,19.2,18.3,18.25,17.9
2Yr,26.4,25.1,24.25,23.35,22.45,22,21.3,20.7,20.1,19.5,18.75,18.05,17.3,17.25,16.9
3Yr,23.1,22.48,22,21.3,20.8,19.92,19.7,19.3,19.3,18.25,17.8,17,16.6,16.55,16.3
4Yr,21.18,20.55,20.02,19.6,19.5,18.75,18.7,18.25,17.95,17.7,17,16.35,15.82,15.85,15.8
5Yr,19.32,19.2,18.7,18.35,18.07,17.83,17.7,17.4,17.15,16.9,16.4,15.7,15.6,15.4,15.3
6Yr,18.5,17.8,17.85,17.6,17.25,17.05,16.75,17,16.4,16.1,15.6,14.9,14.7,14.65,14.65
7Yr,17.7,17,16.8,16.9,16.45,16.25,16.05,16,15.8,15.38,15.2,14.5,14.4,14.25,14.2
8Yr,16.5,16.1,16.05,15.9,15.7,15.6,15.4,15.25,15.15,14.9,14.6,14.2,13.95,13.75,13.8
9Yr,15.55,15.35,15.25,15.2,15.05,14.85,14.9,14.65,14.55,14.35,14.15,13.85,13.65,13.5,13.45
10Yr,15.05,15.05,14.95,14.85,14.63,14.8,14.38,14.4,14.2,13.85,13.95,13.15,12.75,13,12.9
15Yr,13.55,13.55,13.5,13.5,13.5,13.35,13.25,13.3,13.1,12.85,12.55,12.1,11.8,11.7,11.6
20Yr,13.5,12.9,12.85,13.3,12.7,12.55,12.4,12.3,12.15,12.05,11.8,11.5,11.2,11.3,11.05
25Yr,12.7,12.15,12.05,12,12,12.1,12,11.95,11.9,11.8,11.4,10.9,10.8,10.5,10.25
30Yr,13.25,12.85,12.9,12.95,13,12.95,12.9,11.9,12.75,12.55,11.9,11,10.45,10.15,10
