Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,30.4,34.7,32.47,31.02,30.3,28.5,26.9,25.6,24.3,23.2,22.1,21.1,20.1,18.8,18.8
3Mo,32.5,35.8,33.25,31.8,30.9,29.1,27.5,26.1,24.9,23.7,22.5,20.9,19.8,20.05,19.2
6Mo,35.8,34.95,32.2,30.8,29.9,28.3,27,25.8,24.7,23.6,22.7,21.1,20.1,20.15,19.5
9Mo,36.05,33.6,31.05,29.8,28.85,27.45,26.25,25.05,24.35,23.2,22.25,20.9,19.95,20,19.4
1Yr,35.13,32.2,29.98,28.8,27.8,26.1,25.5,24.35,23.6,22.8,21.75,20.9,19.8,19.5,19.3
2Yr,28.38,26.9,26.4,25.27,24.45,23.7,23.2,22.55,22,21.3,20.3,19.8,19,18.7,18.38
3Yr,24.63,24.18,24,22.9,22.4,21.73,21.27,21.05,20.8,20,19.35,18.9,18.17,18.2,17.73
4Yr,23.13,22.45,22.2,21.3,21.2,20.8,19.98,19.85,19.5,19.3,18.7,17.85,17.6,17.4,17.3
5Yr,21.07,20.8,20.5,20.1,19.8,19.5,18.73,18.65,18.6,18.3,17.7,17,16.9,16.7,16.6
6Yr,19.85,19.2,19.1,18.9,18.6,18.3,17.9,18.05,17.7,17.4,16.9,16.15,16,15.95,15.8
7Yr,18.55,18.7,18.4,17.93,18.1,17.9,17.6,17.3,17.1,16.9,16.25,15.75,15.5,15.4,15.4
8Yr,17.65,17.35,17.3,17.1,16.95,16.75,16.6,16.45,16.35,16.15,15.85,15.4,15.2,14.9,14.85
9Yr,16.9,16.7,16.55,16.4,16.25,16.05,16.05,15.85,15.7,15.55,15.35,15.1,14.9,14.5,14.45
10Yr,16.8,16.4,16.4,16.3,15.82,16,15.8,15.55,15.35,14.95,14.8,14.3,14,14.05,13.9
15Yr,14.7,14.65,14.5,14.6,14.55,14.35,14.25,14.1,13.95,13.85,13.5,13,12.7,12.6,12.65
20Yr,13.85,13.75,13.65,13.45,13.5,13.3,13.15,13.05,12.95,12.8,12.5,12.15,12,11.85,11.6
25Yr,12.95,12.9,12.85,12.7,12.75,12.6,12.55,12.45,12.3,12.2,11.9,11.5,11.2,10.95,10.75
30Yr,12.5,12.5,12.5,12.45,12.45,12.3,12.15,12.15,11.95,11.8,11.45,11,10.65,10.45,10.3
