Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,80.95,76.9,41.4,48.2,53.45,49.65,47.2,44.85,43.45,42.95,43.38,44.05,45.9,44.2,47
3Mo,73.7,65.9,35.6,45.2,47.95,45.05,42.95,41.2,40.2,39.8,41,38.65,41.5,38.25,41.9
6Mo,67.35,58.2,32.4,42.8,43.45,41,39.35,37.75,37,36.8,37.35,35.1,37.1,34.5,37.35
9Mo,63.05,52.33,45.8,42.4,40.48,38.5,35.45,34.9,35.2,34.7,34.77,34.95,35.05,35.55,35.38
1Yr,54.97,27.23,32.3,38.02,36.7,35.2,34.05,33,33.1,32.55,32.85,32.7,32.7,31.1,32.95
2Yr,36.2,24,31,30.17,29.55,28.82,28.5,27.85,27.75,28.05,28.4,27.55,28.75,27.4,28.95
3Yr,38.67,43.58,34.97,31.77,30.18,29.27,28.77,30.75,27.73,28.02,26.08,27.45,28.25,27.05,28.3
4Yr,50.35,31.63,28.45,27.1,26.55,26.15,25.9,25.45,25.4,25.6,24.8,26.8,26.05,25,26.1
5Yr,23.95,23.25,22.98,22.93,23.02,23.05,23.05,23.4,23,23.25,23.6,23.4,23.85,23.25,24.05
6Yr,22.2,21.95,22.05,22.2,22.2,22.35,22.45,22.65,22.7,22.7,22.8,22.95,22.9,22.9,22.9
7Yr,20.25,20.55,20.8,21,21.25,21.35,21.45,21.4,21.45,21.55,21.75,21.25,21.65,21,21.75
8Yr,20.9,20.25,20.25,20.3,20.6,20.85,21.05,21.2,21.35,21.05,21.1,21.2,21.2,21.25,21.3
9Yr,20,19.65,19.7,19.8,20.05,20.2,20.35,20.5,20.65,20.65,20.7,20.85,20.85,20.85,20.85
10Yr,18.95,19.25,19.55,19.75,19.95,20,20,19.8,19.75,19.75,19.4,18.9,19.15,18.65,19
15Yr,18.85,19.05,19.2,19.3,19.45,19.2,19,18.75,18.5,19.25,18.45,17.3,17.4,17.05,16.4
20Yr,18.5,18.4,18.3,18.2,18,17.8,17.6,17.4,17.2,17.7,17.02,16.1,15.65,14.8,15.55
25Yr,16.5,16.5,16.4,16.4,16.5,16.6,16.7,16.8,16.8,16.8,16.2,15.3,13.4,15.7,15.8
30Yr,17.5,17.9,18,18.1,18,17.8,17.4,16.9,16.3,15.95,14.55,12.5,15.6,15.8,15.95
