Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,85.72,78.5,69.05,56.98,48.38,46.73,48.52,46.48,47.08,48.13,51.38,43.73,44.67,44.38,44.42
3Mo,79.5,71.85,61.63,55.1,50.48,50.7,49.1,47.65,47.55,47.85,45.35,44.75,44.1,43.6,44.5
6Mo,78.05,71.13,57.1,53.72,50.9,50.53,48.47,47.17,46.65,46.75,45.75,43.95,43.5,43.2,43.25
9Mo,77.58,68.18,56.8,53.45,50.38,48.33,46.3,46.3,45.83,44.83,44.55,42.67,42.27,42.1,42.1
1Yr,75.18,64.78,55.9,52.83,49.6,47.35,46.3,44.92,44.67,43.98,41.83,41.42,41.23,40.85,41.33
2Yr,69.22,55.73,49.52,46.38,44.58,42.7,41.7,40.53,39.77,39.38,38.52,37.2,37.38,37.13,37.17
3Yr,53.73,47.33,43.1,40.9,39.65,38.75,37.8,37.35,36.75,36.13,35.85,34.23,35.02,34.47,34.72
4Yr,45.42,40.65,38.52,37.23,36.38,35.98,35.08,34.7,34.3,34.15,33.95,32.65,33.45,33.03,33.27
5Yr,38.8,36.9,35.88,35.17,34.48,34.2,33.53,33.08,32.92,33,32.8,32.25,32.58,32.08,32.42
6Yr,35.27,34.2,33.55,33.02,32.47,32.13,31.68,31.25,31.25,31.25,32.08,31.32,31.2,31.1,30.95
7Yr,33.8,33.35,32.73,32.1,31.58,31.43,31.2,30.65,31.15,31.75,31.5,30.73,30.9,30.4,30.75
8Yr,32.17,31.72,31.13,30.6,30.13,30.15,30.23,29.75,29.95,30.05,30.52,30.07,29.7,29.63,29.42
9Yr,31.8,30.77,30.25,29.63,29.5,29.7,29.65,29.45,30,29.65,29.9,29.68,29.3,27.9,28.93
10Yr,30.6,30.05,29.75,29.63,29.15,29.7,29.75,29.67,29.85,30.05,29.98,29.13,28.8,28.23,28.3
15Yr,29.25,29.05,29.25,29.58,29.52,29.68,29.65,29.9,30.02,29.63,28.35,28.65,27.6,27.75,28
20Yr,27.75,27.92,28.05,28.1,28.13,28.15,27.98,27.8,27.77,27.02,28.23,26.77,26.67,26.8,27.05
25Yr,27.52,27.5,27.57,27.65,27.85,27.88,27.98,27.92,27.5,27.6,27.27,26.95,27.13,27.23,27.23
30Yr,27.23,26.92,27.27,27.55,27.8,27.93,27.9,27.92,28.08,28.1,27.33,26.65,26.4,26.9,28.88
