Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,81.35,77.15,67.45,57.48,49.55,47.1,48.67,44.9,46,47.5,45.95,43.75,43.7,41.65,43.6
3Mo,80.4,73.65,62.77,56.25,50.92,50.8,48.42,46.77,46.7,46.75,43.58,43.75,42.85,42.6,43.85
6Mo,78.6,73.55,60.95,55.33,50.95,49.23,47.55,46.23,45.73,46.35,45.05,42.67,42.67,41.97,42.48
9Mo,79.75,71.65,56.5,53.95,50.3,48.02,46.52,45.67,45.05,45.25,43.95,41.77,41.28,40.98,41.1
1Yr,80.13,68.4,57.88,52.92,49.75,47.35,46.33,44.63,43.97,43.3,40.27,40.45,40.73,39.75,40.85
2Yr,74.1,58.95,51.08,46.9,44.8,42.92,41.52,40.05,39.7,39.03,38.78,36.67,37.1,36.27,36.58
3Yr,56.42,48.58,43.55,41.1,39.65,38.6,37.5,37,36.25,35.6,35.83,34.15,34.55,33.7,33.78
4Yr,44.95,40.73,37.85,36.98,36.1,35.75,34.75,33.8,33.9,33.67,33.63,32.65,32.9,32.42,32.48
5Yr,38.42,36.6,35.6,34.78,34.15,33.73,33.05,32.63,32.45,32.42,32.02,31.15,31.88,31.48,31.7
6Yr,34.6,33.92,33.2,32.73,32.08,31.7,31.35,30.88,30.77,30.77,31.45,30.8,30.65,30.55,30.45
7Yr,33.1,33.2,32.3,31.67,31.08,30.93,30.65,29.8,30.45,31.13,30.07,30.02,30.13,29.67,29.93
8Yr,31.85,31.57,30.88,30.25,29.82,29.73,29.73,29.25,29.35,29.45,29.98,29.57,29.23,29.02,28.93
9Yr,31.38,30.43,29.83,29.48,29.18,29.25,29.1,28.8,29.48,29.13,29.45,29.02,28.7,28.27,28.43
10Yr,30.2,29.73,29.38,29.15,28.73,29.18,29.23,29.07,29.18,29.63,28.9,28.5,28.32,27.57,27.68
15Yr,28.45,28.6,28.82,28.52,28.83,28.83,29.08,29.25,29.4,29.27,27.88,27.85,27.05,27.2,27.4
20Yr,27.45,27.15,27.15,27.43,27.3,27.25,27.2,27.25,27.27,26.58,27.73,26.02,25.73,26.02,26.15
25Yr,26.7,26.6,26.75,26.82,26.4,26.3,26.3,26.73,26.85,26.9,26.45,26.1,25.8,26.08,26.17
30Yr,26.63,26.57,26.77,27.05,27.17,27,27,27,27.1,27.2,26.7,26.32,26.35,26.05,28.1
