Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,0.253,0,0.253,0.253,0.99934
EDU11   ,0.3794,0,0.3794,0.33544,0.998614
EDZ11   ,0.48295,0,0.48295,0.39311,0.997396
EDH12   ,0.53586,0,0.53586,0.4352,0.996047
EDM12   ,0.59815,0,0.59815,0.47293,0.994543
EDU12   ,0.69481,0,0.69481,0.51378,0.9928
EDZ12   ,0.84088,0,0.84088,0.56366,0.990694
2 YR,0.6555,0,0.6555,0.65639,0.986979
3 YR,0.99,0,0.99,0.99437,0.970681
4 YR,1.3975,0,1.3975,1.41105,0.945309
5 YR,1.801,0,1.801,1.83037,0.912924
6 YR,2.1579,0,2.1579,2.20801,0.876449
7 YR,2.454,0,2.454,2.52708,0.838738
8 YR,2.6948,0,2.6948,2.79091,0.801132
9 YR,2.8955,0,2.8955,3.01444,0.763933
10 YR,3.0635,0,3.0635,3.2045,0.727668
11 YR,3.204,0,3.204,3.36571,0.692707
12 YR,3.3243,0,3.3243,3.50572,0.658866
15 YR,3.578,0,3.578,3.8065,0.568014
20 YR,3.7705,0,3.7705,4.02883,0.450338
25 YR,3.863,0,3.863,4.1301,0.359872
30 YR,3.9155,0,3.9155,4.18432,0.288707
40 YR,3.931,0,3.931,4.14614,0.193645
50 YR,3.892,0,3.892,3.99398,0.138441
