Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,32.15,36.85,34.25,32.95,31.65,29.1,27.98,26.95,25.5,24.1,23.15,21.8,20.9,19.55,19.5
3Mo,35.25,37.22,34.45,32.75,31.57,29.6,27.95,26.45,25.2,23.75,22.7,21.2,20.1,19.8,19.13
6Mo,35.97,34.48,31.88,30.4,29.73,27.63,26.2,24.8,23.8,22.6,21.4,20.2,19.1,19.05,18.6
9Mo,35.45,32.73,30.68,29.3,28.1,26.65,25.3,23.75,23.05,22.05,21.1,19.7,19,18.8,18.35
1Yr,34.22,31.05,29.15,27.63,26.5,25.3,24.2,22.85,22.25,21.5,20.4,19.3,18.57,18.5,18.1
2Yr,26.2,22.88,23.68,23.55,22.85,21.85,21.35,21,20.4,19.55,19.05,18.2,17.4,17.6,17.2
3Yr,23.25,21.85,21.95,21.45,20.95,20.35,19.98,19.85,19,18.9,18.15,17.7,16.9,17.05,16.6
4Yr,21.65,21.2,20.45,20.2,19.8,19.23,18.85,18.6,18.3,17.77,17.45,16.85,16.4,16.3,15.88
5Yr,19.73,19.6,19.2,18.9,18.48,18.23,17.77,17.85,17.6,16.98,16.7,16.05,15.57,15.6,15.3
6Yr,18.8,18.1,18.1,17.95,17.75,17.5,17.15,16.75,16.8,16.45,15.95,15.25,15,14.95,14.9
7Yr,17.35,17.27,17.05,16.9,16.7,16.5,16.25,16.2,16.35,15.9,15.35,14.9,14.6,14.55,14.4
8Yr,16.85,16.5,16.45,16.3,16.15,16,15.85,15.7,15.55,15.3,14.95,14.5,14.3,14.05,14
9Yr,16.1,15.85,15.7,15.6,15.5,15.3,15.3,15.05,14.9,14.75,14.5,14.2,14,13.8,13.65
10Yr,15.43,15.2,15.15,15.05,14.97,14.85,14.68,14.7,14.5,14.05,13.8,13.5,13.2,13.1,12.88
15Yr,14,13.95,13.95,13.9,13.85,13.7,13.5,13.45,13.3,13.15,12.75,12.2,12.4,11.9,12.2
20Yr,13.25,13.2,13.3,13.2,13.1,13,12.9,12.8,12.5,12.35,12.05,11.7,11.4,11.4,11.35
25Yr,12.4,12.35,12.35,21.55,12.3,12.2,12.15,12.15,12.05,12.2,11.75,11.1,11,10.75,10.45
30Yr,12.35,12.4,12.5,24.85,12.6,12.5,12.4,12.35,12.25,12.1,11.7,11.15,10.7,10.3,10.05
