Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.81875,0,2.81875,2.81875,0.992925
EDU08   ,2.81499,0,2.81499,2.8562,0.992857
EDZ08   ,2.93399,0,2.93399,2.90041,0.985548
EDH09   ,2.81234,0,2.81234,2.89568,0.978591
EDM09   ,2.90506,0,2.90506,2.91689,0.971457
EDU09   ,3.05717,0,3.05717,2.95411,0.964007
EDZ09   ,3.30866,0,3.30866,3.01598,0.956012
2 YR,3.178,0,3.178,3.1832,0.938791
3 YR,3.4835,0,3.4835,3.49874,0.901176
4 YR,3.697,0,3.697,3.72175,0.862773
5 YR,3.8585,0,3.8585,3.89271,0.824675
6 YR,3.9965,0,3.9965,4.04118,0.786585
7 YR,4.1124,0,4.1124,4.16782,0.7492
8 YR,4.208,0,4.208,4.27367,0.712987
9 YR,4.2865,0,4.2865,4.36158,0.678031
10 YR,4.3525,0,4.3525,4.43653,0.644729
11 YR,4.405,0,4.405,4.49639,0.613163
12 YR,4.4545,0,4.4545,4.55423,0.582528
15 YR,4.558,0,4.558,4.67607,0.499777
20 YR,4.6445,0,4.6445,4.77587,0.388987
25 YR,4.6785,0,4.6785,4.80777,0.304915
30 YR,4.69,0,4.69,4.80826,0.24041
40 YR,4.694,0,4.694,4.78027,0.15113
50 YR,4.662,0,4.662,4.65645,0.100105
