Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.1925,0,2.1925,2.1925,0.994488
EDZ08   ,2.09992,0,2.09992,2.11424,0.994175
EDH09   ,1.83369,0,1.83369,2.00359,0.989588
EDM09   ,1.78172,0,1.78172,1.94671,0.985151
EDU09   ,1.81903,0,1.81903,1.92145,0.980642
EDZ09   ,1.94561,0,1.94561,1.92717,0.975843
EDH10   ,1.97151,0,1.97151,1.9424,0.971004
2 YR,1.999,0,1.999,1.99976,0.960985
3 YR,2.195,0,2.195,2.20011,0.936465
4 YR,2.372,0,2.372,2.38271,0.909485
5 YR,2.5285,0,2.5285,2.54603,0.881114
6 YR,2.6355,0,2.6355,2.65828,0.853469
7 YR,2.7385,0,2.7385,2.76794,0.824954
8 YR,2.8125,0,2.8125,2.84693,0.797599
9 YR,2.8495,0,2.8495,2.88519,0.772741
10 YR,2.8785,0,2.8785,2.91513,0.748586
11 YR,2.877,0,2.877,2.91006,0.72769
12 YR,2.9005,0,2.9005,2.93534,0.704913
15 YR,2.8855,0,2.8855,2.91014,0.648317
20 YR,2.818,0,2.818,2.81862,0.571329
25 YR,2.778,0,2.778,2.76459,0.503378
30 YR,2.736,0,2.736,2.70649,0.446416
40 YR,2.729,0,2.729,2.702,0.341788
50 YR,2.9264,0,2.9264,3.09333,0.215475
