Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,89.32,64.7,65.55,56.17,50.88,43.02,38.2,34.63,32.95,32.3,32.65,27.35,25.05,24.73,23.67
3Mo,86.4,65.05,64.93,55.48,48.67,42.27,38.6,36.05,34.55,33.23,,28.1,25.95,25.65,25.02
6Mo,80.8,67.82,62.95,53.52,46.95,41.58,38.17,35.9,34.2,32.7,,27.98,26.27,25.5,24.88
9Mo,80.47,67.95,59.7,50.5,45.08,40.27,37.17,35.42,33.85,32.3,31.52,28.15,26.48,25.75,25.05
1Yr,78.67,66.28,56.25,47.5,43.05,38.73,36.15,34.67,33.45,31.83,30.8,28,26.4,25.73,25.2
2Yr,63.28,51.45,43.23,38.52,35.63,33.35,31.73,30.75,30,29.2,28.5,25.7,24.7,24.4,23.9
3Yr,44.25,38.23,34.2,32.1,30.65,29.3,28.33,28.02,27.45,26.5,29.88,24.33,23.52,23.13,22.92
4Yr,33.92,30.95,29.38,28.18,27.4,26.95,26.05,25.95,25.63,25.25,25.08,23.25,22.3,22.25,21.65
5Yr,28.88,27.73,26.75,26,25.75,25.05,24.7,24.48,24.3,23.8,23.83,22.45,21.7,21.48,21.35
6Yr,25.9,25.2,24.77,24.25,23.9,23.5,23.13,22.95,22.75,22.65,22.3,21.35,20.63,20.48,20.43
7Yr,24.33,23.83,23.38,22.95,22.6,22.38,22.02,22.05,22,21.95,21.9,20.4,19.75,19.85,19.75
8Yr,23.38,22.9,22.48,22.13,21.82,21.7,21.5,21.35,21.35,21.25,20.98,19.88,19.45,19.23,19.2
9Yr,22.1,21.67,21.4,21.05,20.9,20.83,20.65,20.65,20.55,20.55,20.15,19.42,18.88,19.2,18.7
10Yr,20.98,20.83,20.45,20.25,20.1,20.05,20.1,20.2,20.1,20.02,19.95,18.75,17.88,18,18.2
15Yr,18.8,19.1,18.9,18.77,18.63,18.6,18.45,18.42,18.4,18.25,17.98,17.4,16.45,16.3,16.23
20Yr,17.83,17.6,17.6,17.3,17.1,17.1,17.05,16.8,16.77,16.83,16.57,15.8,15.32,15.28,15.18
25Yr,16.35,16.25,16.02,15.95,15.78,15.68,15.6,15.52,15.45,15.43,15.28,14.72,14.65,14.43,14.1
30Yr,15.07,15.05,17.8,14.77,14.65,14.47,14.5,14.53,14.52,14.57,15.3,13.9,13.55,13.45,18.15
