Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,91.95,70.22,62.85,59.92,55.4,54.13,54,51.38,51.7,51.7,49.05,49.67,51.08,50.75,51.55
3Mo,82.05,68.78,59.6,57.17,54.55,51.42,51.02,49.95,50,49.6,48.27,47.7,47.05,46.95,47.27
6Mo,74.93,61.6,55.95,54.2,52.25,49.75,48,47.23,46.88,46.3,46.25,43.8,44.13,43.75,43.95
9Mo,71.88,60.15,55.8,51.5,49.33,47.23,46.4,45.35,44.85,44.08,43.58,41.8,41.9,41.17,42.4
1Yr,68.2,60.1,53.42,49.52,46.88,44.95,44.08,43.55,43.05,42.35,41.05,39.35,39.27,39.75,40.03
2Yr,64.55,50.58,45.1,42.25,41.17,40.02,39.08,38.6,38.33,37.4,37.8,35.77,35.7,35.4,35.35
3Yr,49.85,43.88,39.88,38.08,37.35,36.72,35.98,35.8,35.25,34.58,34.72,33.55,33.33,33.33,33.3
4Yr,40.83,37.47,35.88,34.98,34.53,34,33.67,33.27,32.98,32.67,32.92,32.05,31.85,32.05,31.8
5Yr,35.58,35.05,33.85,33.22,32.95,32.55,32.25,32.15,31.85,31.85,31.65,31.05,31.05,31.15,30.73
6Yr,33.42,33.35,32.92,32.13,31.83,31.6,31.1,31.02,31.23,31.23,31.2,30.27,30.27,30.38,30.43
7Yr,32.58,32.23,31.73,31.13,30.52,30.7,30.23,30.48,30.52,30.83,30.27,30.18,29.6,29.6,29.98
8Yr,31.35,31.25,30.58,30.3,30.05,29.8,29.75,29.95,30.05,30.15,30.05,28.85,28.9,28.9,29.02
9Yr,30.55,30.35,29.9,29.8,29.3,29.35,29.35,29.63,29.7,29.85,29.58,28.57,28.4,28.43,28.3
10Yr,29.73,30.1,29.1,29.05,29.35,29.4,29.32,29.6,29.75,29.6,29.58,29.33,27.92,28.13,28.25
15Yr,29.05,29.27,29.35,29.4,29.52,29.65,29.75,29.95,30.15,30.25,28.68,28.3,27.6,27.8,28.1
20Yr,27.8,27.82,27.98,27.65,27.75,27.83,27.92,28.02,28.13,28.13,28.6,27.15,26.85,26.7,27
25Yr,27.85,27.7,27.7,27.6,27.6,27.65,27.67,27.77,27.9,28,28.43,27.4,27.9,27.45,29
30Yr,27.08,27.08,26.93,27.45,27.1,27.4,27.77,27.75,27.85,29,27.75,29.4,27.75,28.05,31.4
