Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.2175,0,2.2175,2.2175,0.994365
EDZ08   ,2.05214,0,2.05214,2.09638,0.993188
EDH09   ,1.91278,0,1.91278,2.03799,0.988409
EDM09   ,1.9549,0,1.9549,2.02773,0.983548
EDU09   ,2.04604,0,2.04604,2.03855,0.978488
EDZ09   ,2.20622,0,2.20622,2.07167,0.973061
EDH10   ,2.27546,0,2.27546,2.11281,0.967496
2 YR,2.233,0,2.233,2.2357,0.95639
3 YR,2.601,0,2.601,2.61335,0.924997
4 YR,2.94975,0,2.94975,2.97671,0.888526
5 YR,3.2262,0,3.2262,3.26904,0.85033
6 YR,3.4395,0,3.4395,3.49772,0.812167
7 YR,3.592,0,3.592,3.66254,0.775647
8 YR,3.708,0,3.708,3.78885,0.740539
9 YR,3.7825,0,3.7825,3.86897,0.708304
10 YR,3.836,0,3.836,3.92584,0.677883
11 YR,3.867,0,3.867,3.95653,0.649878
12 YR,3.8925,0,3.8925,3.98176,0.623057
15 YR,3.8995,0,3.8995,3.97297,0.55427
20 YR,3.8725,0,3.8725,3.91636,0.460381
25 YR,3.8465,0,3.8465,3.86708,0.383795
30 YR,3.8365,0,3.8365,3.8461,0.318833
40 YR,3.841,0,3.841,3.8487,0.217653
50 YR,2.9264,0,2.9264,2.24688,0.327203
