Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,0.57575,0,0.57575,0.57575,0.998547
EDH12   ,0.67919,0,0.67919,0.64143,0.996963
EDM12   ,0.75274,0,0.75274,0.68557,0.995069
EDU12   ,0.79072,0,0.79072,0.71507,0.993084
EDZ12   ,0.81312,0,0.81312,0.73546,0.991047
EDH13   ,0.80497,0,0.80497,0.75031,0.989035
EDM13   ,0.82128,0,0.82128,0.7633,0.986986
2 YR,0.785,0,0.785,0.78646,0.984403
3 YR,0.9072,0,0.9072,0.9095,0.973144
4 YR,1.1198,0,1.1198,1.12564,0.956094
5 YR,1.357,0,1.357,1.36938,0.93404
6 YR,1.5825,0,1.5825,1.60396,0.908597
7 YR,1.777,0,1.777,1.80876,0.881488
8 YR,1.9314,0,1.9314,1.97369,0.854554
9 YR,2.0589,0,2.0589,2.11065,0.827817
10 YR,2.1685,0,2.1685,2.22962,0.801133
11 YR,2.271,0,2.271,2.34255,0.774001
12 YR,2.351,0,2.351,2.43097,0.748295
15 YR,2.5265,0,2.5265,2.62749,0.676003
20 YR,2.64645,0,2.64645,2.75652,0.578371
25 YR,2.7032,0,2.7032,2.81393,0.497291
30 YR,2.7395,0,2.7395,2.85073,0.427731
40 YR,2.747,0,2.747,2.83436,0.324398
50 YR,2.7145,0,2.7145,2.75369,0.254755
