Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,74.15,75.95,67.7,63.15,60.02,54.42,53.25,51.48,50.4,49.8,46.45,46.38,45.7,45.83,45.65
3Mo,79.35,74.1,68.17,61.33,57.03,52.95,51.08,49.73,48.05,47.75,45.9,43.4,42.75,42.6,42.05
6Mo,82.97,71.5,64.43,58.25,54.42,50.42,48.55,47.17,46.33,45.03,44.3,41.4,40.75,40.6,40.08
9Mo,84.08,71.95,62.45,55.75,51.83,48.25,46.33,45.35,44.2,42.95,42.15,40.15,39.2,38.8,38.63
1Yr,82.88,70.47,59.9,53.02,49.25,45.95,44.05,42.7,42.2,40.88,39.8,38.28,37.5,37.25,37.02
2Yr,72.75,56.63,48.3,43.9,41.58,39.83,38.52,37.92,37,36.2,36.23,34.25,33.63,33.4,33.2
3Yr,51.98,44.23,40,37.45,35.95,35.08,34.15,33.97,33.45,32.73,32.92,31.13,30.98,30.55,30.57
4Yr,40.52,36.75,34.72,33.6,32.77,32.35,31.6,31.42,31.1,30.7,30.73,29.5,29.23,29.02,28.93
5Yr,34.48,32.65,31.75,31.13,30.67,30.43,29.57,29.6,29.43,29.3,28.9,28.1,27.98,27.68,27.77
6Yr,31.18,30.63,30.17,29.63,29.3,29.13,28.7,28.5,28.3,28.3,28.63,27.63,27.45,27.33,27.13
7Yr,30.08,29.52,28.8,28.75,28.27,28.1,28.02,27.52,27.45,28.25,27.35,26.98,26.93,26.57,26.5
8Yr,28.75,28.18,27.83,27.5,27.2,27.15,27.1,26.6,26.7,26.7,26.95,26.05,25.75,25.58,25.4
9Yr,27.9,27.52,27.23,26.88,26.7,26.75,26.63,26.2,26.7,26.65,26.42,25.7,25.2,25.93,24.9
10Yr,27.35,26.75,26.8,26.63,26.5,26.55,26.52,26.45,26.5,26.7,25.85,25.15,24.65,24.1,24.35
15Yr,24.93,25.7,25.45,25.75,25.95,26.02,25.73,25.63,25.88,25.32,24.83,24.2,23.65,23.88,23.8
20Yr,24.1,24.05,24.05,24.38,24.45,24.45,24.05,24,23.88,23.82,24.58,23.33,23.55,22.95,22.95
25Yr,23.5,23.55,23.45,23.6,23.65,23.95,23.9,23.85,23.85,23.82,24.05,24.1,24.52,24.95,25.05
30Yr,23.85,24.18,24.05,24.25,24.55,24.55,24.65,25.02,25.17,24.3,23.98,25.35,25.6,26.48,25.9
