Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,43.1,46.35,42.55,40.35,38.78,34.4,33.05,30.4,28.35,26.2,24.95,22.6,22.3,21.2,20.3
3Mo,42.17,44.13,41.15,38.35,36.22,33.4,30.7,28.85,27.5,25.5,23.8,22.4,21.35,20.85,20.35
6Mo,40,39.1,36.1,34,32.35,30.27,28.32,27.1,25.7,24.05,21.95,21.5,20.3,20.1,19.48
9Mo,39.67,37.15,34.6,32.55,30.88,28.67,27.15,25.7,24.85,23.5,22.43,20.9,19.98,19.75,19.55
1Yr,37.88,34.92,32.85,30.65,28.9,27.45,26.02,24.75,24.05,23.3,22,20.95,19.9,19.75,19.3
2Yr,30.2,28.15,27.15,26.1,25,23.9,23.3,22.8,22.2,21.38,20.45,19.5,18.8,18.6,18.15
3Yr,26.1,25.25,24.7,23.6,22.9,22.2,22,21.55,20.3,20.3,19.7,18.7,18,18.3,17.9
4Yr,23.63,23.2,22.45,21.75,21.35,20.85,20.4,20.3,19.95,19.27,18.6,18.05,17.3,17.5,17.2
5Yr,21.73,21.15,20.65,20.25,20.05,19.77,19.33,19.35,19,18.38,17.8,17,16.7,16.75,16.5
6Yr,20.35,19.7,19.65,19.4,19.1,18.85,18.45,17.8,18.05,17.75,17.15,16.35,16.05,15.9,15.75
7Yr,18.73,18.63,18.45,18.3,18.1,17.85,17.65,17.5,17.4,16.83,16.4,15.8,15.2,15.3,15.3
8Yr,18,17.75,17.7,17.5,17.25,17.1,16.9,16.7,16.55,16.3,15.9,15.4,15.15,14.8,14.7
9Yr,17.2,17,16.85,16.7,16.55,16.25,16.25,16.05,15.9,15.7,15.4,15.05,14.75,13.65,14.25
10Yr,16.68,16.42,16.25,16.13,16.3,16.2,15.7,15.7,15.5,15.4,14.8,14.3,13.9,13.9,13.8
15Yr,14.9,15.2,15,14.8,14.7,14.4,14.4,14.15,14,13.85,13.35,12.6,12.4,12.6,12.55
20Yr,13.5,13.65,13.55,13.45,13.6,13.6,13.1,13,12.85,12.7,12.35,11.9,11.55,11.4,11.25
25Yr,13.3,12.8,12.7,12.55,12.55,12.35,12.25,12.15,12,11.9,11.4,10.75,10.55,10.45,10.25
30Yr,12.95,12.4,12.3,12.2,12.1,11.95,11.8,11.75,11.55,11.4,10.9,10.25,10.9,11.1,9.75
