Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,32.25,38.02,34.95,33.25,32.15,29.65,28.45,27.2,25.9,24.6,24.25,21.8,20.55,20.2,19.5
3Mo,34.65,37.75,35.08,33.25,32.05,30.25,28.6,27.55,26.4,25.02,24,22.3,20.85,20.7,20.5
6Mo,37.75,35.95,33.35,31.75,30.65,29.05,27.65,26.7,25.6,24.35,23.3,21.8,20.6,20.5,20
9Mo,37.5,34.98,32.63,31.23,29.93,28.25,27.15,26.05,25.35,24.13,23.13,21.7,20.77,20.75,20.05
1Yr,36.75,33.55,31.25,30.05,28.85,27.15,26.45,25.4,24.65,23.65,22.75,21.7,20.4,20.55,19.85
2Yr,29.1,28.05,27.25,26.25,25.45,24.4,23.85,23.5,22.9,21.95,21.3,20.2,19.45,19.4,19
3Yr,26.2,25.5,24.65,23.95,23.35,22.8,22.33,22.1,21.7,20.9,20.3,19.4,18.8,18.9,18.5
4Yr,24.3,23.35,22.8,22.2,21.8,21.4,21,20.8,20.4,19.8,19.4,18.6,18,18.1,17.73
5Yr,21.77,21.43,20.9,20.55,20.4,20.05,19.65,19.7,19.3,19,18.45,17.8,17.2,17.3,16.98
6Yr,21,20.1,20.1,19.85,19.6,19.25,18.9,18.7,18.55,18.15,17.65,16.95,16.7,16.55,16.3
7Yr,19.3,19.1,19,18.8,18.6,18.35,18,18,17.8,17.3,17.1,16.5,15.9,16.05,15.65
8Yr,18.65,18.25,18.2,17.95,17.7,17.5,17.3,17.1,16.95,16.7,16.45,16.1,15.85,15.45,15.25
9Yr,17.65,17.4,17.25,17.1,16.95,16.65,16.65,16.45,16.25,16.1,15.9,15.7,15.45,15.1,14.75
10Yr,16.9,16.65,16.65,16.45,16.35,16.15,16.05,16.1,15.8,15.35,15.35,14.9,14.3,14.5,14.07
15Yr,15.3,15.2,15.1,15,14.8,14.8,14.7,14.6,14.4,14.35,14,13.5,13.2,13.1,13
20Yr,14.8,14.2,14.2,13.95,14,14.5,14.4,14.3,13.45,13.25,12.95,12.5,12.25,12,11.85
25Yr,13.85,13.45,14.4,13.2,13.2,13,14,13.9,12.55,12.4,12.05,11.55,11.3,11.05,10.9
30Yr,12.7,12.6,13.9,12.45,12.4,13.7,12.05,12,11.8,11.65,11.35,10.95,10.75,10.55,10.4
