Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,75.22,84.38,69.6,63.85,60.4,54.02,54.08,50.6,49.38,49.4,43.77,45.03,43.75,44.52,44.65
3Mo,75.05,75.32,67.63,60.55,56.75,52.17,50.42,48.13,47.1,46.17,44.33,42.33,41.15,43.35,40.6
6Mo,85.5,72.8,63.52,56.95,54.02,49.6,47.23,45.9,44.65,43.63,41.63,39.83,39.08,38.65,38.15
9Mo,86.45,70.95,60.95,54.45,50.67,47.05,44.95,43.77,42.65,41.48,40.58,38.3,37.42,37.1,36.7
1Yr,84.05,67.82,58.05,51.77,48.08,44.75,42.85,41.77,41,39.65,38.67,36.8,35.8,35.8,35.8
2Yr,69.63,55,46.78,42.63,40.4,38.67,37.38,36.78,36,35.02,33.65,32.88,32.25,31.92,31.57
3Yr,50.8,43.1,38.83,36.27,34.88,34,33,32.88,32.35,31.65,30.73,29.98,29.7,29.55,29.27
4Yr,38.92,35.67,33.55,32.45,31.63,31.13,30.32,30.2,29.85,29.52,28.7,28.1,27.9,27.88,27.77
5Yr,33.25,31.6,30.82,30.2,29.15,29.38,28.45,28.52,28.4,28.3,27.42,27,26.85,26.67,26.7
6Yr,29.65,29.2,28.77,28.63,28.02,27.75,27.45,27.17,26.98,26.98,27.25,26.13,25.98,25.9,25.77
7Yr,29.73,28.48,27.77,27.38,27.2,27.1,26.8,26.73,26.73,27.1,26.23,25.5,25.42,25.2,25.1
8Yr,27.55,27.15,26.82,25.9,26.15,26.05,26.02,25.6,25.7,25.7,25.85,24.85,24.52,24.42,24.35
9Yr,26.5,26.13,25.8,25.45,25.45,25.52,25.23,24.95,25.45,25.25,25.13,24.23,23.82,22.85,23.58
10Yr,26,26.07,25.82,25.63,25.5,25.5,25.4,25.4,25.38,25.58,24.48,23.83,23.42,23.15,23.25
15Yr,23.77,23.95,24.32,24.67,24.9,24.98,24.65,24.93,24.45,24.23,23.75,22.92,22.55,22.6,22.5
20Yr,23.25,23.27,23.33,23.35,22.85,22.77,22.57,22.48,22.88,23.15,23.2,21.35,21.25,22.05,22.08
25Yr,22.08,22.08,22.52,22.8,22.52,23.02,23.07,23.02,22.93,22.88,22.7,22.02,22.15,22.92,22.13
30Yr,22.5,22.9,23.15,22.92,23.38,23.13,23.45,23.38,23.48,23.33,22.55,22.68,24.73,22.3,24.92
