Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.81813,0,2.81813,2.81813,0.992927
EDU08   ,2.79745,0,2.79745,2.83847,0.992512
EDZ08   ,2.85392,0,2.85392,2.85088,0.985403
EDH09   ,2.76223,0,2.76223,2.84556,0.978571
EDM09   ,2.86992,0,2.86992,2.86988,0.971523
EDU09   ,3.05699,0,3.05699,2.91595,0.964073
EDZ09   ,3.31845,0,3.31845,2.98524,0.956053
2 YR,3.122,0,3.122,3.12668,0.939674
3 YR,3.3935,0,3.3935,3.40685,0.903537
4 YR,3.599,0,3.599,3.6215,0.866265
5 YR,3.7545,0,3.7545,3.7859,0.829008
6 YR,3.8775,0,3.8775,3.91759,0.792325
7 YR,3.9835,0,3.9835,4.03292,0.756165
8 YR,4.0705,0,4.0705,4.12872,0.721049
9 YR,4.142,0,4.142,4.2084,0.687409
10 YR,4.202,0,4.202,4.27602,0.655017
11 YR,4.245,0,4.245,4.32395,0.624649
12 YR,4.306,0,4.306,4.39712,0.593369
15 YR,4.4075,0,4.4075,4.51642,0.511746
20 YR,4.497,0,4.497,4.6212,0.401028
25 YR,4.533,0,4.533,4.65692,0.316317
30 YR,4.5475,0,4.5475,4.66379,0.250742
40 YR,4.542,0,4.542,4.61524,0.161199
50 YR,4.528,0,4.528,4.55215,0.10534
