Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,47.6,50.4,45.7,42.7,40.7,37.6,34.8,31.8,29.8,27.25,25.05,23.7,23.4,22.05,21.3
3Mo,42.45,44.55,40.6,38,36.35,33.95,31.7,29.45,28,26.2,25.15,22.9,21.2,21,20.8
6Mo,40.47,39.42,36.2,33.75,32.4,30.2,28.42,27.3,26,24.6,23.1,21.9,20.5,20.2,19.75
9Mo,38.75,36.85,33.95,32,30.32,28.9,27.5,25.7,24.9,23.6,22.63,21.2,20.1,20,19.55
1Yr,36.7,34,31.7,30,28.32,27.2,26.1,24.65,24,22.9,22.35,20.8,19.7,19.85,19.07
2Yr,28.55,27.25,26.45,25.48,24.45,23.65,22.95,22.6,22.15,21.15,20.4,19.4,18.45,18.5,18.15
3Yr,25.4,24.3,23.85,23.18,22.7,21.85,21.7,21.3,20.3,20.08,19.35,18.8,18.1,17.9,17.45
4Yr,23.3,22.55,21.95,21.45,21.05,20.63,20.18,20.05,19.7,19.1,18.55,17.8,17.3,17.1,17.1
5Yr,21.7,21.1,20.7,20.02,19.77,19.5,19.4,19,18.75,18.5,17.7,16.9,16.6,16.35,16.02
6Yr,20.3,19.5,19.45,19.15,18.8,18.55,18.2,18.3,17.85,17.5,16.9,16,15.7,15.55,15.35
7Yr,19.1,18.5,18.3,18.07,18.2,18,17.7,17.4,17.2,17,16.3,15.5,15.3,15.2,15.2
8Yr,18.15,17.7,17.5,17.3,17.05,16.9,16.75,16.55,16.4,16.15,15.75,15.15,14.8,14.45,14.35
9Yr,17.2,16.9,16.65,16.5,16.3,16.1,16.1,15.85,15.7,15.55,15.25,14.8,14.5,14,13.95
10Yr,16.5,16.2,16.4,16.3,16.1,15.68,15.8,15.55,15.4,14.95,14.6,14.05,13.55,13.65,13.32
15Yr,14.65,14.45,14.35,14.3,14.4,14.1,14.2,13.85,13.7,13.6,13.2,12.7,12.6,12.45,12.35
20Yr,13.25,13.4,13.3,13.25,13.2,13.05,13,12.85,12.7,12.55,12.25,11.8,11.5,11.25,11.4
25Yr,13.2,13.3,13.3,13.2,12.4,12.25,12.2,12.05,12.7,11.8,11.3,10.65,10.4,10.25,10.1
30Yr,12.9,12.35,12.25,12.15,12.05,11.9,12.6,11.7,11.5,11.35,10.85,10.15,9.85,9.7,9.55
