Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,102.08,79.68,78.65,68.03,58.2,55.72,55.7,53.98,53.38,53.25,46.8,47.7,46.92,43.77,44.83
3Mo,101.22,76,72.6,64.33,56.42,54.3,52.35,50.67,49.98,49.48,46.92,44.55,42.3,42.2,42.75
6Mo,89.2,76.33,70.85,61.92,55.72,52.05,49.88,47.8,46.55,45.65,44.45,40.52,39.3,38.6,39.5
9Mo,89.22,73.2,66.5,58.25,52.78,49.52,47.55,45.97,44.92,43.63,42.2,38.4,37.3,36.35,37.05
1Yr,83.15,68.65,62.3,55.33,50.27,47.2,45.33,43.65,43.1,41.67,39.75,36.75,35.5,35.08,35.08
2Yr,76,59.98,50.75,45.6,42.92,41.05,39.75,38.9,37.97,36.98,36.55,33.73,32.45,32.02,31.73
3Yr,56.45,46.9,42.03,39.27,37.77,36.65,35.42,35.2,34.38,33.4,33.38,31.48,30.38,30.15,29.65
4Yr,43.83,39.3,36.77,35.15,34,33.52,32.58,32.45,32.02,31.25,31.75,29.85,28.95,28.7,28.52
5Yr,37.27,35.05,33.85,32.98,32.2,31.48,30.88,30.98,30.57,30,30.33,28.85,27.85,27.77,27.65
6Yr,33.67,32.67,32,31.27,30.65,30.23,29.85,29.6,29.4,29.1,28.88,28.07,27.52,27.2,27.15
7Yr,31.5,30.7,30.02,29.2,28.55,28.48,27.98,28.1,27.9,28.1,28.55,26.9,26.33,26.27,26
8Yr,30.05,29.3,28.7,28,27.7,27.6,27.4,27.35,27.35,27.35,27.05,26.3,25.83,25.68,25.5
9Yr,28.95,28.23,27.7,27.2,26.88,26.88,26.6,26.75,26.75,26.75,26.48,25.83,25.38,25.5,25.1
10Yr,27.52,26.95,26.55,26.27,26.35,26.07,26.13,26.23,26.23,26.13,26.4,25.27,24.27,24.38,24.58
15Yr,24.5,24.63,24.85,24.88,24.88,24.88,24.73,24.83,24.9,24.9,24.3,23.6,23.38,23.33,23.25
20Yr,23.2,23.67,23.63,23.63,23.55,23.58,23.48,23.38,23.35,23.5,24.07,22.82,22.77,22.9,22.8
25Yr,23.9,23.85,23.8,23.7,23.7,23.35,23.88,24,23.9,23.88,24.8,23.9,24.23,25.13,25.63
30Yr,24.63,24.77,24.9,24.9,24.88,25.13,25.3,25.33,25.4,25.52,23.67,26.15,26.52,27.42,27.7
