Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.785,0,2.785,2.785,0.992781
EDU08   ,2.85436,0,2.85436,2.89525,0.988173
EDZ08   ,3.01283,0,3.01283,2.94408,0.980704
EDH09   ,3.05063,0,3.05063,2.99476,0.9732
EDM09   ,3.19775,0,3.19775,3.05612,0.965396
EDU09   ,3.44422,0,3.44422,3.13427,0.957064
EDZ09   ,3.75005,0,3.75005,3.23034,0.948077
2 YR,3.3835,0,3.3835,3.39135,0.934866
3 YR,3.746,0,3.746,3.76625,0.894101
4 YR,3.9795,0,3.9795,4.01047,0.85314
5 YR,4.1415,0,4.1415,4.18173,0.813076
6 YR,4.2725,0,4.2725,4.32242,0.773691
7 YR,4.3935,0,4.3935,4.45526,0.734409
8 YR,4.4915,0,4.4915,4.56447,0.696942
9 YR,4.577,0,4.577,4.66139,0.660531
10 YR,4.644,0,4.644,4.73779,0.626094
11 YR,4.699,0,4.699,4.80106,0.593406
12 YR,4.748,0,4.748,4.85845,0.561967
15 YR,4.855,0,4.855,4.98599,0.477721
20 YR,4.9465,0,4.9465,5.09349,0.3657
25 YR,4.9845,0,4.9845,5.13136,0.281771
30 YR,5.001,0,5.001,5.14028,0.218113
40 YR,5.0015,0,5.0015,5.09663,0.133535
50 YR,4.9885,0,4.9885,5.02392,0.083665
