Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.70625,0,2.70625,2.70625,0.993132
EDZ08   ,2.05459,0,2.05459,2.26477,0.991777
EDH09   ,2.00816,0,2.00816,2.18172,0.986768
EDM09   ,2.12601,0,2.12601,2.18116,0.981493
EDU09   ,2.27317,0,2.27317,2.20902,0.975885
EDZ09   ,2.49965,0,2.49965,2.26429,0.969758
EDH10   ,2.65046,0,2.65046,2.33404,0.963304
2 YR,2.51455,0,2.51455,2.51945,0.951026
3 YR,2.9571,0,2.9571,2.97502,0.915143
4 YR,3.3243,0,3.3243,3.35905,0.875249
5 YR,3.5875,0,3.5875,3.63803,0.835047
6 YR,3.8065,0,3.8065,3.87426,0.794348
7 YR,3.9665,0,3.9665,4.04856,0.755354
8 YR,4.088,0,4.088,4.18202,0.718042
9 YR,4.168,0,4.168,4.26898,0.683748
10 YR,4.216,0,4.216,4.31886,0.652275
11 YR,4.25,0,4.25,4.35307,0.622693
12 YR,4.2725,0,4.2725,4.37403,0.594981
15 YR,4.285,0,4.285,4.3704,0.522829
20 YR,4.2695,0,4.2695,4.3258,0.424885
25 YR,4.278,0,4.278,4.32759,0.342844
30 YR,4.256,0,4.256,4.27831,0.280777
40 YR,4.26,0,4.26,4.2757,0.184104
50 YR,4.2705,0,4.2705,4.29631,0.119384
