Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.795,0,2.795,2.795,0.992908
EDU08   ,2.8895,0,2.8895,2.92954,0.988834
EDZ08   ,3.07309,0,3.07309,2.99094,0.981211
EDH09   ,3.16602,0,3.16602,3.0633,0.973421
EDM09   ,3.3883,0,3.3883,3.15404,0.965155
EDU09   ,3.68494,0,3.68494,3.2604,0.956248
EDZ09   ,3.99596,0,3.99596,3.37691,0.946685
2 YR,3.506,0,3.506,3.51452,0.932692
3 YR,3.844,0,3.844,3.864,0.891532
4 YR,4.0635,0,4.0635,4.09351,0.850176
5 YR,4.2125,0,4.2125,4.25096,0.81023
6 YR,4.346,0,4.346,4.39501,0.7704
7 YR,4.4525,0,4.4525,4.51144,0.731768
8 YR,4.5425,0,4.5425,4.61147,0.694385
9 YR,4.6175,0,4.6175,4.69598,0.658525
10 YR,4.679,0,4.679,4.76593,0.624212
11 YR,4.7325,0,4.7325,4.82791,0.591618
12 YR,4.778,0,4.778,4.88125,0.560618
15 YR,4.875,0,4.875,4.99603,0.477019
20 YR,4.955,0,4.955,5.08792,0.366097
25 YR,4.995,0,4.995,5.13204,0.281724
30 YR,5.001,0,5.001,5.12033,0.219421
40 YR,5.0305,0,5.0305,5.15454,0.13059
50 YR,5.012,0,5.012,5.05598,0.082356
