Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,85.6,72.7,60.55,56.27,48.15,45.9,48.78,46.1,46.9,47.63,47.67,45.7,44.13,43.95,45.38
3Mo,79.03,73.38,63.45,56.2,50.88,50.05,50.25,48.23,48.33,48.42,45.7,45.45,45,44.15,45.33
6Mo,75.4,71.03,56.77,53.78,50.52,49.55,48.25,47.15,46.88,46.83,46,44,43.92,43.02,43.25
9Mo,73.65,66.57,55.58,52.9,50.05,48.08,46.83,46,45.53,45.25,44.42,42.42,42.13,41.8,41.88
1Yr,71.4,63.35,54.92,52,49.25,46.9,45.88,44.63,44.23,43.75,41.52,41.13,41.13,40.6,41.2
2Yr,67.6,55.35,49.45,46.15,44.33,42.65,41.35,40.55,39.17,39.17,39.2,36.92,37.3,36.27,37.42
3Yr,56.63,48.52,43.52,40.88,39.5,38.52,37.6,37.1,36.5,36.08,36.1,34.17,34.98,34.35,34.2
4Yr,43.98,40.95,38.4,37.02,36.1,35.8,34.97,34.05,34.22,34.02,34.08,33.2,33.35,33.02,33.23
5Yr,38.52,36.55,35.53,34.7,34.13,33.9,33.22,32.83,32.6,32.8,32.38,31.75,32.33,31.92,32.35
6Yr,34.63,33.77,33.2,32.67,32.1,31.85,31.57,30.9,31,31,31.85,31.18,31.05,30.95,30.98
7Yr,33.5,32.8,32.3,31.73,31.23,31.13,30.92,30.7,30.65,31.45,30.43,30.48,30.7,30.15,30.1
8Yr,31.88,31.52,30.92,30.45,30.02,30.05,30.1,29.48,29.58,29.77,30.32,29.95,29.63,29.5,29.32
9Yr,31.07,30.38,30.02,29.63,29.45,29.65,29.58,29.05,29.85,29.55,29.75,29.5,29.1,28,28.93
10Yr,30.4,29.95,29.63,29.45,28.95,29.33,29.55,29.52,29.7,29.83,29.3,28.98,28.83,28.3,28.25
15Yr,29,29.2,29.33,29.4,29.27,29.65,29.33,29.85,30.02,29.27,28.48,28.65,28.1,28.05,28.2
20Yr,27.57,27.63,27.8,27.77,27.82,27.7,27.4,27.4,27.5,27.6,27.9,26.27,25.57,26.8,26.7
25Yr,27.18,27.1,26.3,27.05,26.8,27.3,27.35,27.4,27.4,27.5,27.55,26.98,26.85,27.1,27.1
30Yr,26.85,26.88,27.07,27.38,27.65,27.77,27.75,27.8,27.95,28.05,27.3,27.32,26.68,26.63,28.58
