Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,3.0625,0,3.0625,3.0625,0.992318
EDZ08   ,3.1439,0,3.1439,3.13323,0.984661
EDH09   ,2.75705,0,2.75705,3.03216,0.977846
EDM09   ,2.61949,0,2.61949,2.94616,0.971414
EDU09   ,2.49622,0,2.49622,2.86269,0.965322
EDZ09   ,2.69726,0,2.69726,2.83622,0.958785
EDH10   ,2.84264,0,2.84264,2.84771,0.951945
2 YR,2.8729,0,2.8729,2.8718,0.944493
3 YR,3.1755,0,3.1755,3.185,0.909557
4 YR,3.396,0,3.396,3.41557,0.873306
5 YR,3.554,0,3.554,3.58247,0.837329
6 YR,3.7005,0,3.7005,3.74001,0.800653
7 YR,3.827,0,3.827,3.87811,0.76408
8 YR,3.934,0,3.934,3.99675,0.728632
9 YR,4.0125,0,4.0125,4.08397,0.694992
10 YR,4.089,0,4.089,4.17116,0.661778
11 YR,4.109,0,4.109,4.189,0.633794
12 YR,4.2,0,4.2,4.30065,0.599989
15 YR,4.307,0,4.307,4.42504,0.518653
20 YR,4.392,0,4.392,4.52012,0.409033
25 YR,4.4245,0,4.4245,4.54854,0.324848
30 YR,4.4335,0,4.4335,4.54436,0.259714
40 YR,4.432,0,4.432,4.50691,0.168133
50 YR,4.42575,0,4.42575,4.46771,0.109781
