Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.29,0,2.29,2.29,0.994182
EDZ08   ,2.03466,0,2.03466,2.11219,0.992673
EDH09   ,1.93325,0,1.93325,2.05813,0.987846
EDM09   ,2.02112,0,2.02112,2.06217,0.982824
EDU09   ,2.18328,0,2.18328,2.09676,0.97743
EDZ09   ,2.43975,0,2.43975,2.16245,0.971439
EDH10   ,2.59055,0,2.59055,2.23915,0.965119
2 YR,2.4015,0,2.4015,2.40615,0.95329
3 YR,2.915,0,2.915,2.93473,0.91616
4 YR,3.3145,0,3.3145,3.35269,0.875388
5 YR,3.5987,0,3.5987,3.65422,0.834384
6 YR,3.8145,0,3.8145,3.88639,0.793782
7 YR,3.966,0,3.966,4.0505,0.755253
8 YR,4.0845,0,4.0845,4.18013,0.718066
9 YR,4.1625,0,4.1625,4.2645,0.683938
10 YR,4.2115,0,4.2115,4.31554,0.65241
11 YR,4.24825,0,4.24825,4.35322,0.622683
12 YR,4.273,0,4.273,4.37699,0.594774
15 YR,4.2865,0,4.2865,4.3742,0.522475
20 YR,4.267,0,4.267,4.32324,0.425048
25 YR,4.2625,0,4.2625,4.30395,0.344794
30 YR,4.263,0,4.263,4.29724,0.279286
40 YR,4.255,0,4.255,4.26645,0.184772
50 YR,4.2374,0,4.2374,4.21151,0.124445
