Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,34.75,44.63,41.42,39.73,38.65,35.4,34.15,32.85,31.25,29.65,29,26,24.9,24.35,23.77
3Mo,37.92,41.27,38.58,36.92,35.88,33.83,31.75,30.3,29.2,27.57,25.9,24.35,23.1,22.85,22.2
6Mo,40.15,38.8,35.95,34.38,33.2,31.38,29.75,28.5,27.65,26.1,25,23.3,22.13,21.95,21.33
9Mo,40.02,37,34.77,33.03,31.75,29.8,28.63,27.4,26.6,25.27,24.2,22.65,21.7,21.6,20.9
1Yr,39.4,35.2,32.9,31.52,30.3,28.2,27.57,26.3,25.6,24.5,23.55,22.5,21.3,21.25,20.5
2Yr,30.3,29.23,28.15,27.2,26.2,25,24.43,23.9,23.3,22.48,21.7,21.05,20.02,20.05,19.38
3Yr,26.8,26.13,25.33,24.5,23.9,23.13,22.6,22.35,21.73,21.15,20.65,19.9,19.1,19.1,18.57
4Yr,24.55,23.88,23.15,22.6,22.08,21.6,21.13,21,20.65,19.98,19.6,18.7,18.2,18.15,17.75
5Yr,22.4,21.67,21.27,20.9,20.58,20.27,19.85,19.75,19.5,18.95,18.65,17.75,17.35,17.3,16.95
6Yr,21.25,20.4,20.3,20,19.65,19.3,18.9,18.7,18.5,18.15,17.65,16.95,16.65,16.5,16.25
7Yr,19.68,19.27,19.02,18.83,18.6,18.38,18.02,18.05,17.85,17.27,17,16.5,15.97,16.05,15.63
8Yr,18.75,18.3,18.2,17.9,17.65,17.45,17.25,17.05,16.95,16.65,16.4,16.05,15.8,15.4,15.15
9Yr,17.65,17.35,17.2,17.05,16.85,16.6,16.55,16.3,16.2,16,15.85,15.65,15.4,15,14.65
10Yr,16.9,16.77,16.6,16.45,16.35,16.15,15.97,15.95,15.75,15.7,15.3,14.8,14.3,14.4,13.95
15Yr,14.9,14.9,15,14.95,14.9,14.75,14.6,14.5,14.5,14.2,13.9,13.45,13.1,12.95,13
20Yr,15.25,14.2,14.2,13.95,14,13.85,13.7,13.6,13.45,13.3,13,12.55,12.3,12.1,12.5
25Yr,14,13.55,13.55,13.35,13.4,13.2,13.05,12.95,12.75,12.6,12.25,11.75,11.5,11.3,11.15
30Yr,12.95,12.9,12.85,12.7,12.7,12.5,12.35,12.3,12.1,12,11.7,11.25,11.1,10.95,10.7
