Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.79063,0,2.79063,2.79063,0.992919
EDU08   ,2.8943,0,2.8943,2.92048,0.987912
EDZ08   ,3.04766,0,3.04766,2.97261,0.98036
EDH09   ,3.07031,0,3.07031,3.02077,0.97281
EDM09   ,3.23225,0,3.23225,3.08386,0.964926
EDU09   ,3.4835,0,3.4835,3.16388,0.956504
EDZ09   ,3.78907,0,3.78907,3.2611,0.947429
2 YR,3.3795,0,3.3795,3.38658,0.935041
3 YR,3.717,0,3.717,3.73539,0.89473
4 YR,3.9355,0,3.9355,3.96393,0.854699
5 YR,4.088,0,4.088,4.12502,0.815338
6 YR,4.2205,0,4.2205,4.26764,0.776185
7 YR,4.326,0,4.326,4.38268,0.738249
8 YR,4.4085,0,4.4085,4.47346,0.70175
9 YR,4.491,0,4.491,4.5671,0.665949
10 YR,4.5485,0,4.5485,4.63187,0.632607
11 YR,4.604,0,4.604,4.69621,0.600128
12 YR,4.645,0,4.645,4.74327,0.569756
15 YR,4.748,0,4.748,4.86616,0.486111
20 YR,4.828,0,4.828,4.95753,0.375479
25 YR,4.864,0,4.864,4.99418,0.291276
30 YR,4.8755,0,4.8755,4.99489,0.227623
40 YR,4.875,0,4.875,4.95465,0.141181
50 YR,4.878,0,4.878,4.94016,0.087155
