Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,33.7,38.6,35.85,33.85,32.65,30.55,28.6,27.25,26,24.45,22.15,20.75,21.2,19.75,19.4
3Mo,31.35,37.02,34.7,32.9,31.35,29.8,27.35,25.95,25.1,23.8,22.45,20.85,19.9,19.5,19.3
6Mo,36,34.2,32,30.25,29.07,27.8,25.73,24.8,23.6,22.4,21.4,20,19.1,18.7,18.5
9Mo,35.25,32.35,30.6,29.1,27.9,25.55,24.55,23.25,22.55,21.85,20.8,19.25,18.55,18.4,18.2
1Yr,34.2,31,28.95,27.7,26.3,25.1,24,22.3,21.65,20.93,20.2,19.1,18.5,18.1,17.9
2Yr,25.83,25.1,24.17,23.5,22.4,22,21.4,20.7,20.2,19.25,18.8,17.9,17.4,17.2,16.73
3Yr,23.02,22.52,22.1,21.23,20.6,20.4,19.9,19.4,18.6,18.7,17.95,17.2,16.8,16.6,16.4
4Yr,21.3,20.73,20.25,19.68,19.35,18.88,18.45,18.3,18.1,17.55,17.1,16.4,15.9,15.95,15.65
5Yr,19.6,19.07,18.7,18.42,18.13,17.85,17.55,17.6,17.3,16.75,16.4,16,15.35,15.4,15.15
6Yr,18.5,17.8,17.85,17.65,17.35,17.15,16.8,16.55,16.45,16.1,15.6,14.95,14.75,14.7,14.5
7Yr,17.4,16.98,16.83,16.7,16.8,16.6,16.05,16,15.9,15.4,15.15,14.55,14.4,14.3,14.3
8Yr,16.5,16.15,16.15,16,15.8,15.65,15.5,15.35,15.2,14.95,14.65,14.2,14,13.7,13.55
9Yr,15.7,15.5,15.4,15.3,15.15,14.95,14.95,14.75,14.6,14.45,14.2,13.9,13.7,13.15,13.15
10Yr,15.25,15.15,15.15,14.85,14.85,14.63,14.8,14.5,14.3,14.2,13.75,13.2,13.1,13.1,12.57
15Yr,13.8,13.75,13.8,13.7,13.55,13.4,13.4,13.15,13.1,12.85,12.5,12,11.75,11.55,11.75
20Yr,13.3,13.2,12.9,13,13,12.65,12.8,12.7,12.3,12.15,11.9,11.6,10.85,11.3,11.25
25Yr,12.55,12.7,12.45,12.6,12.5,12,11.8,11.65,12.2,11.3,10.85,10.25,10.9,10.75,10.7
30Yr,12.45,11.75,11.6,11.45,11.3,11.15,11,10.95,10.85,10.8,10.6,10.35,10.8,10.8,10.25
