Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,83.58,65.55,66.33,53.05,48.65,41.73,36.52,35.7,33.92,31.6,30.7,27.55,25.48,24.7,23.9
3Mo,78.68,64.45,63.83,53.45,47,40.83,37.08,35.17,33.53,32.02,,27.3,25.45,24.98,24.27
6Mo,76.55,65.35,60.4,50.77,44.88,39.5,36.38,34.58,33.08,31.77,,27.45,25.63,24.98,24.4
9Mo,79.45,65.9,57.67,48.45,42.98,38.63,36.17,34.35,33.05,31.55,31.1,27.6,25.68,25.2,24.43
1Yr,78.55,64.75,54.28,46.08,41.47,37.8,35.35,33.73,32.85,31.5,29.4,27.65,26.02,25.38,24.92
2Yr,62.1,49.9,42.4,37.55,34.88,32.8,31.2,30.52,29.65,28.45,27.2,25.65,24.42,24.1,23.9
3Yr,43.3,36.8,33.9,31.45,30.05,28.95,28.15,27.67,27.1,26.3,25.19,24.05,23.2,23.07,22.82
4Yr,33.65,30.25,28.77,28.05,27.15,26.45,25.9,25.5,25.13,24.52,24.13,23,22.1,22,21.43
5Yr,28.32,27.27,26.65,25.65,25.05,24.73,24.13,24.15,23.88,23.42,22.77,22.2,21.23,21.15,20.63
6Yr,25.8,25.1,24.6,24.07,23.68,23.27,22.95,22.7,22.5,22.4,22.15,21.18,20.48,20.25,20.18
7Yr,24.23,23.7,23.38,22.8,22.55,22.13,21.8,21.88,21.77,21.8,21.05,20.48,19.58,19.6,19.3
8Yr,22.98,22.5,22.15,21.75,21.4,21.23,21.05,21,20.9,20.9,20.6,19.55,19.1,18.83,18.67
9Yr,21.77,21.27,21.02,20.7,20.5,20.4,20.08,20.25,20.13,20.15,19.93,19.08,18.5,18.18,18.05
10Yr,20.63,20.45,20,19.8,19.63,19.83,19.48,19.7,19.67,19.9,18.95,18.4,17.52,17.55,17.38
15Yr,18.63,18.55,18.5,18.38,18.3,18.23,18.1,18.02,18,17.9,17.7,17.1,16.15,16.02,15.9
20Yr,17.25,17.23,17.1,16.93,16.77,16.77,16.63,16.45,16.65,16.45,16.75,15.45,14.97,14.82,14.82
25Yr,16.6,16.1,16,15.9,15.7,15.65,15.5,15.4,15.38,16.95,15.05,14.68,15.63,14.43,14.1
30Yr,14.88,14.85,14.55,14.55,14.32,14.3,14.4,14.15,14.05,14.13,16.15,13.65,13.7,13.53,17.8
