Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,98.53,105.63,94.32,91.05,89.97,87.6,86.05,85.4,85.4,85.88,85,92.2,98.1,106,113.7
3Mo,82.32,82.28,78.53,77.38,77.53,74.68,72.55,71.3,70.6,70.18,73.2,76.3,82.88,88.45,93.7
6Mo,77.65,72.55,69.32,67.75,67.07,64.68,62.88,62,61.4,61.05,63.2,63.9,69.15,73.7,76.8
9Mo,70.72,65.43,63.33,62,61.3,59.23,57.77,58.15,58.1,56.3,57.73,59.9,62.85,65.55,70.15
1Yr,64.45,58.52,57.38,56.17,55.3,53.52,52.38,51.9,52.15,51.25,52.7,53.4,57.08,58,62.7
2Yr,48.85,47.4,46.9,46.2,45.77,44.98,44.58,44.7,44.7,44.67,46.1,47.25,50.17,51.2,54.4
3Yr,43.03,42.1,41.83,41.17,41.1,40.85,40.85,41.3,41.6,41.48,41.52,44.3,46.4,47.75,49.6
4Yr,39.85,39.13,38.15,37.9,37.85,37.88,38.05,38.5,38.7,38.85,39.6,41.45,43.4,44.7,45.25
5Yr,35.88,34.8,34.95,35.05,35.4,35.67,35.88,36.4,36.6,36.75,37.9,39.3,41.05,42.05,42.38
6Yr,32.1,32.6,33.25,33.8,34.2,34.35,34.35,34.6,35.1,35.85,36.4,37.3,39.25,41.05,39.7
7Yr,30.63,31.05,31.55,32.05,32.48,32.83,33.17,33.8,34.2,34.35,35.4,36.4,37.55,38.3,38.05
8Yr,29.85,30.2,31.1,31.3,31.5,32.45,32.55,33.25,33.3,33.6,34.35,35.55,36.75,38.25,36.35
9Yr,29.4,29.85,30.55,31.2,31.55,31.75,32.7,32.95,33.05,33.35,34.05,35.15,36.7,36.15,35.65
10Yr,28.95,29.42,29.98,30.58,31.25,31.65,32.33,33.45,33.1,33.25,33.6,34.15,34.45,34.3,33.75
15Yr,31.8,32.5,33.3,34,34.6,34.7,34.9,35,35,34.7,34.15,33.35,32.6,31.4,29.8
20Yr,33.7,32.75,31.8,34.2,32.35,34.2,32.65,33.7,33.3,31.45,30.95,30.3,28.9,27.6,28.2
25Yr,31.6,31.65,32.5,32.3,32,31.4,30.25,29.55,29.7,28.8,28.2,27.3,27.55,26.5,26.05
30Yr,27.1,26.6,26.4,27.2,26.9,26.6,26.3,26,25.8,26.1,26.1,26.2,25.1,26.25,25.4
