Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,115.18,97.63,102.22,76.97,62.75,55.6,55.02,51.42,50.15,49.13,42.83,41.58,41.6,39.58,40.75
3Mo,98.7,76.15,81.25,67.85,57.2,52.15,49.33,46.2,45.73,44.42,41.98,39.27,36.63,36.65,36.2
6Mo,86.2,70.22,69.57,58.45,51.48,47.35,44.65,41.92,41.6,40.55,40.02,35.13,33.6,33.23,33.25
9Mo,85.9,67.95,63.5,53.4,48.4,45.6,42.08,40.6,39.77,38.63,37.4,33.55,31.95,31.3,32.15
1Yr,79.08,63.58,57.33,48.65,44.97,41.92,40,39.17,38.5,37.23,35.65,32.6,31.1,30.3,30.98
2Yr,75.18,55.97,46.8,41.3,38.05,36.15,34.7,34,33.35,32.8,32.5,29.58,28.55,28,27.55
3Yr,50.95,41.65,37.08,34.73,33.27,32.27,31.08,31.13,30.63,29.77,29.52,27.6,26.85,26.35,26.17
4Yr,39.05,35.1,32.25,30.75,29.8,29.25,28.48,28.57,28.38,27.73,27.6,26.1,25.13,25.07,24.95
5Yr,33,31.13,29.77,28.8,28.02,27.6,27.38,27.35,26.92,26.32,25.98,24.98,24.15,24.13,24.08
6Yr,29.75,28.58,27.98,27.35,26.73,26.38,26.15,25.95,25.85,25.55,25.18,24.13,23.65,23.5,23.6
7Yr,27.35,27.05,26.3,25.45,24.98,24.92,24.48,24.75,24.75,24.55,24.27,23.2,22.4,22.52,22.58
8Yr,26.15,25.45,25,24.58,24.2,24.1,23.9,23.92,24.13,24.13,23.55,22.3,22.07,21.85,21.7
9Yr,24.92,24.27,23.93,23.67,23.3,23.23,22.95,23.15,23.08,23.35,22.8,21.93,21.52,21.9,21.25
10Yr,23.55,23.2,23,22.6,22.4,22.35,22.25,22.52,22.58,22.33,22.13,21.18,20.35,20.45,20.45
15Yr,21.73,21.68,21.4,21.7,21.65,21.5,21.45,21.35,21.5,21.42,20.6,19.95,20.08,19.98,20
20Yr,20.45,20.32,20.23,20.13,19.8,20.05,19.6,19.88,19.7,19.8,19.83,18.98,18.57,18.45,18.42
25Yr,18.63,18.48,18.27,18.23,18.2,18.08,19.85,18.08,18.08,18.23,17.95,20.1,17.2,16.92,16.55
30Yr,17.27,17.1,17,16.95,16.85,16.92,16.8,16.6,16.7,16.7,18.98,15.95,15.35,22.7,22.3
