Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.81063,0,2.81063,2.81063,0.992945
EDU08   ,2.82238,0,2.82238,2.8589,0.991755
EDZ08   ,2.97376,0,2.97376,2.9173,0.984355
EDH09   ,2.95699,0,2.95699,2.95404,0.977052
EDM09   ,3.07959,0,3.07959,3.00335,0.969505
EDU09   ,3.28156,0,3.28156,3.06701,0.961529
EDZ09   ,3.55791,0,3.55791,3.14998,0.952959
2 YR,3.323,0,3.323,3.32987,0.936085
3 YR,3.652,0,3.652,3.66997,0.89664
4 YR,3.877,0,3.877,3.90525,0.856484
5 YR,4.0185,0,4.0185,4.05434,0.818075
6 YR,4.146,0,4.146,4.19143,0.779668
7 YR,4.262,0,4.262,4.31868,0.741493
8 YR,4.35,0,4.35,4.41594,0.705089
9 YR,4.422,0,4.422,4.49635,0.669944
10 YR,4.4835,0,4.4835,4.5662,0.636522
11 YR,4.547,0,4.547,4.64088,0.603632
12 YR,4.58,0,4.58,4.67705,0.574196
15 YR,4.68,0,4.68,4.79555,0.491036
20 YR,4.77,0,4.77,4.9025,0.379432
25 YR,4.813,0,4.813,4.95099,0.294441
30 YR,4.825,0,4.825,4.95147,0.230535
40 YR,4.8375,0,4.8375,4.94146,0.14191
50 YR,4.821,0,4.821,4.85848,0.090687
