Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,3.02625,0,3.02625,3.02625,0.992326
EDZ08   ,2.24455,0,2.24455,2.50489,0.990777
EDH09   ,2.21804,0,2.21804,2.41286,0.985253
EDM09   ,2.41578,0,2.41578,2.43138,0.979273
EDU09   ,2.6078,0,2.6078,2.47929,0.97286
EDZ09   ,2.82911,0,2.82911,2.54564,0.965952
EDH10   ,2.92473,0,2.92473,2.61532,0.958863
2 YR,2.761,0,2.761,2.76604,0.94654
3 YR,3.228,0,3.228,3.24809,0.907865
4 YR,3.58125,0,3.58125,3.61828,0.866289
5 YR,3.8431,0,3.8431,3.8969,0.824506
6 YR,4.0405,0,4.0405,4.1098,0.783418
7 YR,4.20905,0,4.20905,4.29509,0.742692
8 YR,4.328,0,4.328,4.42631,0.704516
9 YR,4.4065,0,4.4065,4.51179,0.669117
10 YR,4.4635,0,4.4635,4.57338,0.636155
11 YR,4.448,0,4.448,4.54339,0.61007
12 YR,4.5125,0,4.5125,4.62111,0.577975
15 YR,4.5095,0,4.5095,4.59503,0.505752
20 YR,4.4795,0,4.4795,4.52854,0.408258
25 YR,4.463,0,4.463,4.49058,0.329484
30 YR,4.479,0,4.479,4.51525,0.261974
40 YR,4.4825,0,4.4825,4.50732,0.168148
50 YR,4.4383,0,4.4383,4.37062,0.115121
