Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,3.1925,0,3.1925,3.1925,0.991907
EDZ08   ,2.30952,0,2.30952,2.60761,0.990332
EDH09   ,2.15795,0,2.15795,2.45057,0.984959
EDM09   ,2.29061,0,2.29061,2.42169,0.979289
EDU09   ,2.47253,0,2.47253,2.44092,0.973206
EDZ09   ,2.7087,0,2.7087,2.49189,0.966588
EDH10   ,2.84916,0,2.84916,2.55778,0.959676
2 YR,2.75575,0,2.75575,2.76119,0.946631
3 YR,3.21425,0,3.21425,3.23429,0.908235
4 YR,3.603,0,3.603,3.6423,0.865384
5 YR,3.8685,0,3.8685,3.92477,0.823291
6 YR,4.0645,0,4.0645,4.136,0.782212
7 YR,4.2225,0,4.2225,4.30892,0.741989
8 YR,4.3395,0,4.3395,4.43783,0.703882
9 YR,4.4165,0,4.4165,4.52158,0.668706
10 YR,4.4605,0,4.4605,4.5666,0.636497
11 YR,4.47775,0,4.47775,4.57938,0.607637
12 YR,4.498,0,4.498,4.59785,0.579554
15 YR,4.484,0,4.484,4.55861,0.508589
20 YR,4.4465,0,4.4465,4.48417,0.411919
25 YR,4.4295,0,4.4295,4.44787,0.332943
30 YR,4.418,0,4.418,4.42262,0.269192
40 YR,4.407,0,4.407,4.39182,0.175922
50 YR,4.423,0,4.423,4.43432,0.111575
