Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,94.65,97.25,96.95,94.05,94.43,91.42,88.83,87.5,87.7,86.78,85.53,83.65,83.45,89.9,94.3
3Mo,86.07,80.95,81.85,79.35,79.35,77.1,75,74.3,74.6,73.75,72.95,70.1,73.68,78,80.5
6Mo,75.78,70.6,72.4,68.75,67.3,65.22,63.27,63,62.8,61.75,61,58,59.08,62.95,65.25
9Mo,71.8,64.57,64.15,61.65,60.8,58.9,57.25,57.6,57.25,55.8,54.85,53.4,53.78,54.3,57.9
1Yr,65.95,58.88,56.38,54.83,54.35,52.55,51.25,51.4,50.5,49.65,48.75,47.1,48.38,49.7,50.23
2Yr,49.27,46.65,45.33,44.65,43.83,42.92,42.95,42.6,42.1,41.42,40.8,40.1,41.2,42.3,42.15
3Yr,40.95,40.23,39.63,39.17,38.88,38.95,38.35,38.1,39.3,36.63,38.45,36.4,37.55,38.4,38.2
4Yr,37.23,36.77,36.05,35.65,36.35,35.63,34.98,34.7,34.2,33.35,33.3,33.35,34.75,35.4,35.25
5Yr,34.75,33.45,32.95,33.75,33.45,32.75,32.25,31.9,31.3,30.63,30.7,30.4,32.55,33,32.8
6Yr,31.3,30.9,31.15,31.05,31,29.95,28.95,30.3,28.85,28.7,28.95,29.35,30.2,31.6,30.95
7Yr,28.65,30.23,29.52,28.98,28.85,28.25,27.6,27.5,27.4,27.15,27.65,28.7,29.15,29.5,29.4
8Yr,27.6,26.35,25.95,25.2,24.95,25.3,25.05,25.2,25.35,25.2,26,27.25,27.4,27.6,27.95
9Yr,24.8,24.1,23.95,23.85,23.75,23.95,24.05,24.3,24.9,24.55,25.25,26.35,26.5,27.25,26.65
10Yr,23.63,23.65,23.35,22.92,23.08,23.13,23.35,23.9,24.3,24.38,24.45,24.7,25.25,25.6,25.6
15Yr,21.3,22.2,23.3,24.3,25.2,25.6,25.9,26.1,26.2,26.1,25.7,25.1,24.5,24.5,24.3
20Yr,26.4,26.4,26.4,26.4,26.2,25.8,25.3,24.9,24.5,25,24.2,23,22.7,22.7,22.8
25Yr,23.2,22.9,22.6,22.4,22.3,22.1,22,21.9,21.9,21.9,21.75,21.6,23.3,21.7,21.9
30Yr,20.7,20.8,21,21.2,21.4,21.4,21.5,21.6,21.6,24.4,24.3,24.15,21.6,23.85,21.2
