Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,31.7,37.1,33.8,32.4,30.7,28.8,27.1,26.05,24.3,23,22.15,20.9,20,19.3,18.45
3Mo,33.77,35.7,33,31.2,29.75,28.2,26.6,24.95,23.9,22.33,21.45,20.1,19,18.85,18.4
6Mo,34.4,32.7,30.7,29.2,27.85,26.6,24.95,23.5,22.7,21.5,20.75,19.25,18.4,18.1,17.9
9Mo,33.2,30.83,29.35,27.85,26.7,25.35,24.13,22.5,21.85,21.02,20.1,18.75,18.15,17.95,17.65
1Yr,31.82,29.2,27.85,26.5,25.02,24.1,22.73,22.2,21.15,20.5,19.55,18.5,17.9,17.6,17.4
2Yr,25.05,24.1,23.35,22.6,21.9,21.5,20.8,20.15,19.7,19.1,18.4,17.75,17,17.05,16.6
3Yr,22.3,21.75,21.15,20.55,20.05,19.6,19.4,19.05,18.6,17.92,17.4,17,16.4,16.4,16
4Yr,20.67,20.18,19.7,19.23,18.83,18.45,18.1,18,17.7,17.15,16.8,16.15,15.9,15.7,15.6
5Yr,19.02,19,18.4,18.4,17.83,17.8,17.5,17.3,17,16.7,16.15,15.7,15.4,15.2,15.1
6Yr,18.2,17.5,17.55,17.4,17.15,16.9,16.6,16.4,16.25,15.95,15.45,14.75,14.55,14.5,14.35
7Yr,16.85,16.7,16.55,16.42,16.25,16.08,15.8,15.95,15.6,15.5,14.9,14.6,14.2,14.1,13.77
8Yr,16.25,15.95,15.95,15.8,15.65,15.5,15.3,15.15,15,14.8,14.5,14.05,13.85,13.55,13.5
9Yr,15.5,15.3,15.2,15.1,15,14.8,14.8,14.55,14.45,14.25,14.05,13.75,13.55,13.3,13.1
10Yr,15.25,14.85,14.75,15,14.9,14.45,14.6,14.3,14.3,14.1,13.75,13.05,13,12.8,12.8
15Yr,13.85,13.75,13.55,13.55,13.5,13.3,13.2,13.15,13,12.85,12.5,12,11.7,11.7,11.85
20Yr,17.9,13,13,13,12.7,12.55,12.45,12.35,12.2,12.05,11.65,11.05,11.2,11.1,11.1
25Yr,21.55,12.4,12.3,12.15,12.4,11.9,11.75,12.1,12,11.35,10.95,10.35,10.55,10.75,10.7
30Yr,23.3,11.9,11.75,11.6,11.5,11.35,12.1,11.25,11.15,11.05,10.95,10.9,10.8,10.75,10.2
