Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,101.9,92.15,78.45,69.32,64.2,59.55,55.3,50.73,48.72,49.63,49.38,49.02,52.75,49.7,53.75
3Mo,92.2,81.55,68.95,61.55,56.85,53.05,50.05,47.25,45.65,45.05,45.55,43.35,46.25,42.85,46.85
6Mo,85.35,73.25,62.15,56.15,52.5,49.25,46.75,43.95,42.7,42.65,42.8,40.75,43.05,40.6,43.45
9Mo,78.1,65.13,56.35,51.58,48.67,45.95,43.9,42.15,41.35,40.13,40.17,40.3,40.5,41.05,40.92
1Yr,68.75,56.55,50.15,46.55,44.5,42.15,40.55,38.5,37.7,37.75,37.85,37.4,37.9,37.7,38.25
2Yr,43.45,39.75,37.35,35.95,34.85,33.95,33.3,32.1,31.9,32.35,32.3,32.4,33.1,32.85,33.45
3Yr,34.65,33.15,32.25,31.4,30.95,30.55,30.35,29.2,29.3,30.1,30.18,30.35,31.02,30.85,31.4
4Yr,29.77,29.3,28.55,28.25,28.15,27.95,27.95,27.3,27.05,28.15,28.6,28.3,29.05,28.7,29.4
5Yr,26.95,26.45,26.25,26.2,26.2,26.25,26.35,25.45,25.5,26.7,27.15,26.85,27.45,27.25,27.65
6Yr,24.9,24.65,24.95,25.1,25.3,25.5,25.55,25.7,25.9,25.8,25.9,26.05,26.05,27.15,26.1
7Yr,23.45,23.55,23.7,24,24.35,24.5,24.65,24.3,24.65,24.85,25,24.38,24.9,24.5,24.9
8Yr,23.4,22.35,22.7,23,23.3,23.5,23.65,23.75,23.85,23.75,23.75,23.85,23.6,24.3,23.15
9Yr,22.05,21.85,22.3,22.65,22.9,23,23.25,23.25,23.25,23.2,23.2,23.3,22.9,22.55,22.25
10Yr,21.6,22.05,22.4,22.85,22.95,22.95,23,23,22.82,22.73,22.38,21.85,21.85,20.92,21.8
15Yr,21.75,21.88,22.15,22.2,21.98,22.1,21.9,21.6,21.35,21.13,20.75,20.2,19.85,19.65,20.17
20Yr,20.5,20.2,20.2,19.77,19.63,19.77,19.63,19.57,19.38,18.68,18.42,18.1,17.67,17.95,17.4
25Yr,19.4,19.2,19.35,19.4,19.35,19,18.75,18.2,19.1,17.95,17.6,17.15,17,18.3,16.9
30Yr,19.2,17.85,17.65,17.5,17.4,17.25,17.1,17.05,16.95,16.8,16.7,16.6,16.7,16.95,17.1
