Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,107.67,93.2,88.82,74.85,67.35,63.25,60.17,60.15,59.35,63.73,50.13,53.95,57.55,54.8,55.83
3Mo,104.15,86.55,78.6,70.92,63.55,61.42,59.95,57.9,57.45,59.33,53.53,52.13,52.6,51.17,54.02
6Mo,93.63,77.55,70.47,66.18,61.9,57.55,55.3,54.1,53.73,52.83,45.73,48.55,47.33,46.67,46.77
9Mo,91,75.65,69.35,63.58,59.52,55.1,53.7,52.3,51.25,50.6,48.92,45.55,44.65,44.2,44.25
1Yr,87.65,72.38,66.85,60.27,56.23,53.27,51.55,49.75,49.3,48.38,45.67,43,42.13,41.9,41.83
2Yr,83.15,65.88,56.48,51.75,49.35,47.73,45.92,45.05,43.95,42.92,37.75,39.45,38.48,38.02,37.7
3Yr,65.97,54.7,48.95,45.9,44.33,43,41.73,41.38,40.25,39.35,39.2,37.17,36.25,35.85,35.65
4Yr,51.17,46.4,43.08,41.75,40.63,39.9,38.7,38.5,38,37.15,33.05,35.45,34.6,34.3,35.25
5Yr,43.98,41.75,40.88,39.65,38.83,38.05,37.15,36.83,36.55,36.03,31.7,34.6,34.13,33.05,34.4
6Yr,39.95,39.85,39.05,37.25,36.4,36.45,35.42,35.85,35.55,35.35,34.88,33.6,32.7,32.45,32.02
7Yr,39.6,39.05,38.05,36.65,35.95,35.3,34.73,35.05,34.95,34.8,30.35,33.17,32.98,33.23,33.15
8Yr,36.67,37.05,35.05,35.35,34.75,33.53,33.38,34.05,34.15,34.15,33.7,32.35,32.05,31.2,30.65
9Yr,36.4,34.3,34.9,34.38,33.97,32.85,32.42,33.53,32.88,33.72,33.25,32.17,31.7,31.38,30.23
10Yr,33.92,33.67,33.45,33.17,32.73,32.95,33,33.15,32.33,33.23,28.45,31.5,31.05,29.98,31.15
15Yr,31.02,31.42,31.9,31.75,31.65,31.65,31.55,31.65,31.75,31.45,31,30.95,29.55,29.25,29.15
20Yr,30.13,29.98,29.95,29.92,29.98,30.17,29.98,29.7,29.7,29.82,30.68,28.32,28.13,30.05,30.7
25Yr,29.13,29.15,29.42,29.45,29.15,29.1,30.9,31.3,31.6,31.7,29.98,28,31.7,26.43,26.4
30Yr,30.3,28.4,30.5,27.02,27.88,27.68,27.4,32.7,33.1,28.3,30.27,34.4,27.77,27.67,35.58
