Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,86.38,75,71.53,68.03,59.73,54.83,55.52,52.3,51.65,51.1,48.6,46.4,46.25,46.38,46.58
3Mo,89.17,75.55,70.4,62.25,57.92,54.7,52.23,50.4,49.05,48.38,46.67,45.13,43.95,43.38,43.38
6Mo,88.22,72.65,66.1,58.77,56.47,52.27,49.88,48,47,46,44.67,42.85,41.88,41.38,41.15
9Mo,85.7,72.58,63.45,56.7,53.38,49.7,47.45,46,44.97,43.85,43.13,41,40.13,39.88,39.63
1Yr,82.45,69.9,60.3,54,50.77,47.1,44.98,43.75,42.7,41.75,40.4,39.05,38.27,38.28,37.97
2Yr,71.9,57.05,49.13,44.98,42.75,40.78,39.73,38.52,37.77,37.1,36.33,34.83,34.3,34.23,33.8
3Yr,52.75,45.22,40.97,38.45,36.95,35.95,34.95,34.88,34.22,33.38,33.75,32.13,31.75,31.73,31.25
4Yr,41.3,37.75,35.65,34.48,33.7,33,32.4,32.4,32.03,31.48,31.5,30.63,30.17,30.27,29.93
5Yr,35.4,33.85,32.95,32.3,31.75,31.55,31.25,31.02,30.75,30.35,30.33,29.5,29.2,29.27,29.2
6Yr,32.42,31.83,31.38,30.95,30.55,30.32,29.98,29.8,29.7,29.8,29.55,28.85,28.75,28.63,28.48
7Yr,30.83,30.48,30.2,29.83,29.17,29.3,29,29.1,29.2,29.25,29.05,28.32,28.05,28.05,27.7
8Yr,30.4,30.13,29.7,29.17,28.88,28.77,28.63,28.58,28.77,28.67,28.52,27.88,27.45,27.4,27.3
9Yr,29.63,29.2,28.88,28.5,28.27,28.25,27.98,28.25,28.23,28.33,27.9,27.25,26.98,26.5,26.6
10Yr,28.38,28.38,28.1,27.77,27.85,27.85,27.77,28.17,28.17,27.98,27.45,27,25.95,25.75,25.73
15Yr,27.75,27.8,27.85,27.65,27.65,27.7,27.65,27.8,27.9,28.15,26.5,26.13,25.45,25.2,24.93
20Yr,26.38,26.35,26.05,26.15,26.15,26.05,26.05,26.05,26.05,26.05,26.57,24.4,24.57,24.6,24.52
25Yr,25.55,25.45,25.43,25.58,25.48,25.48,25.6,25.52,25.48,25.8,25.6,24.93,24.65,24.57,24.65
30Yr,25.82,25.73,25.6,25.65,25.75,26,25.98,25.83,25.75,26,25.6,26.48,26.67,26.77,29.7
