Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.81,0,2.81,2.81,0.992947
EDU08   ,2.82234,0,2.82234,2.88423,0.991446
EDZ08   ,2.95868,0,2.95868,2.92321,0.984086
EDH09   ,2.90685,0,2.90685,2.94179,0.976908
EDM09   ,3.01937,0,3.01937,2.97896,0.969508
EDU09   ,3.22126,0,3.22126,3.03507,0.961678
EDZ09   ,3.50753,0,3.50753,3.11452,0.953226
2 YR,3.2775,0,3.2775,3.28342,0.936771
3 YR,3.6125,0,3.6125,3.63311,0.897524
4 YR,3.8375,0,3.8375,3.86775,0.85793
5 YR,3.996,0,3.996,4.03482,0.818949
6 YR,4.1275,0,4.1275,4.17575,0.780387
7 YR,4.237,0,4.237,4.295,0.742785
8 YR,4.328,0,4.328,4.39545,0.706135
9 YR,4.402,0,4.402,4.47815,0.671268
10 YR,4.465,0,4.465,4.54952,0.637721
11 YR,4.518,0,4.518,4.61024,0.605701
12 YR,4.5665,0,4.5665,4.66707,0.574942
15 YR,4.6675,0,4.6675,4.78697,0.491847
20 YR,4.755,0,4.755,4.88944,0.380555
25 YR,4.791,0,4.791,4.92521,0.296259
30 YR,4.804,0,4.804,4.92812,0.232054
40 YR,4.814,0,4.814,4.9129,0.14352
50 YR,4.809,0,4.809,4.86914,0.090229
