Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,44.4,47.1,42.3,39.7,37.9,34.9,32.2,29.8,27.5,25.4,25.25,22.5,21.6,20,19.6
3Mo,41.85,43.78,40.2,37.5,35.5,33,30.8,28.8,26.9,25.2,24.1,22,20.4,20.8,20
6Mo,40.8,38.52,35.4,33.1,31.3,29.4,27.7,26.2,24.8,23.5,23.1,20.9,19.6,19.3,19.1
9Mo,38.45,36.1,33.2,31.15,29.45,27.85,26.45,24.75,23.95,22.9,21.85,20.3,19.3,19.25,18.9
1Yr,36.3,33.25,31,29.2,27.6,26.3,25.2,24.2,23.2,22.3,21.85,20.25,19,19.05,18.7
2Yr,28,26.9,25.9,25,24.1,22.9,22.6,21.9,21.4,20.7,19.9,18.9,18.2,18,17.9
3Yr,25.2,24.1,23.5,22.8,22.2,21.6,21.1,20.75,20.85,19.55,18.9,18,17.7,17.5,17.4
4Yr,23.1,22.3,21.7,21.2,20.8,20.4,20,19.55,19.3,18.9,18.15,17.5,16.9,16.85,16.7
5Yr,21.2,20.6,20.2,19.9,19.6,19.3,18.9,18.7,18.4,18.1,17.45,16.6,16.3,16.35,16.1
6Yr,19.75,19.1,18.95,18.7,18.35,18.1,17.8,18.3,17.5,17.15,16.6,15.8,15.5,15.4,15.25
7Yr,18.7,18.4,18.2,18,17.8,17.6,17.4,17.1,16.9,16.7,16,15.3,15,14.8,14.9
8Yr,17.55,17.25,17.05,16.8,16.65,16.55,16.4,16.25,16.1,15.9,15.5,14.9,14.6,14.25,14.15
9Yr,16.8,16.4,16.25,16.15,16,15.8,15.85,15.65,15.5,15.3,15,14.6,14.25,14,13.75
10Yr,16.5,16.1,16.1,16,15.9,15.8,15.6,15.4,15.2,15,14.7,13.8,13.6,13.5,13.5
15Yr,14.65,14.45,14.5,14.25,14.2,14.05,13.95,13.9,13.8,13.55,13.05,12.4,12.1,12,12.35
20Yr,13.15,13.7,13.2,13.6,13.4,13.3,13.3,13.1,13,12.4,12.1,11.7,11.3,11.15,11.05
25Yr,13,12.5,13.1,13.1,13.1,12.9,12.9,12.7,12.6,12.5,12,11.3,10.9,10.9,10.05
30Yr,12.7,12.25,12.1,12.05,11.95,11.8,11.7,12.3,11.4,11.25,10.75,10.05,9.8,9.65,9.5
