Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,31.05,35.97,33.25,32,31.35,28.75,27.8,26.3,25.1,23.75,23,21.8,20.9,19.75,19.5
3Mo,32.5,35.6,33.9,32.4,31.4,29.5,28,26.5,25.2,24,22.85,21.2,20.2,20.2,19.45
6Mo,35.95,35.2,32.9,31.6,30.7,29,27.1,25.85,25,23.52,22.63,21.35,20.3,20.1,19.7
9Mo,35.8,33.8,31.75,30.4,29.3,27.85,26.55,25,24.25,23.33,22.33,20.85,20.1,19.9,19.55
1Yr,35.17,32.4,30.3,29.2,27.9,26.7,25.3,24.2,23.55,22.6,21.7,20.6,19.9,19.65,19.4
2Yr,27.75,26.67,26.1,25.1,24.15,23.6,22.9,22.3,21.7,21.1,20.15,19.3,18.8,18.8,18.3
3Yr,24.5,23.8,23.3,22.65,22.13,21.48,21,20.85,20.6,20,19.25,18.45,17.75,18.1,17.7
4Yr,22.68,22.2,21.7,20.98,20.8,20.2,20.1,19.6,19.4,19,18.4,17.8,17.3,17.25,17
5Yr,20.95,20.5,20.1,19.8,19.6,19.3,18.65,18.6,18.45,17.88,17.55,16.95,16.7,16.5,16.4
6Yr,19.7,19,19.05,18.85,18.6,18.25,17.85,17.8,17.6,17.25,16.75,16.05,15.85,15.75,15.65
7Yr,18.2,18.08,17.95,17.8,17.6,17.35,17.15,17.1,16.9,16.45,16.15,15.7,15.4,15.3,15.2
8Yr,17.65,17.3,17.25,17.1,16.95,16.7,16.5,16.35,16.25,16,15.65,15.2,15,14.7,14.65
9Yr,16.8,16.55,16.45,16.35,16.2,15.95,15.9,15.7,15.6,15.4,15.2,14.9,14.65,14.25,14.2
10Yr,16.18,15.95,16.2,15.8,15.9,15.53,15.4,15.5,15.3,14.85,14.55,14.2,13.9,13.85,13.8
15Yr,14.6,14.8,14.7,14.6,14.45,14.4,14.15,14.1,13.85,13.7,13.35,12.9,12.8,12.6,12.5
20Yr,13.7,14.1,14.1,14,13.9,13.2,13.05,12.95,13.4,12.65,12.35,12,12,11.8,11.9
25Yr,13.5,12.8,12.75,12.6,12.65,12.5,12.4,12.3,12.9,12.05,11.9,11.7,11.5,11.5,11.5
30Yr,12.35,12.35,13.2,12.25,12.3,12.15,12,12,11.85,11.75,11.45,11.1,11.4,10.7,10.45
